,sentence,process,catalyst
335,"For synthesis of Co-ZnO @ CN-IWI catalyst : Firstly , the ZnO @ CN support was obtained by direct pyrolysis of Zn-HMTA MOFs under the Ar atmosphere ( 450 celcius for 5 h ) .",celcius,Ar
336,"For synthesis of Co-ZnO @ CN-IWI catalyst : Firstly , the ZnO @ CN support was obtained by direct pyrolysis of Zn-HMTA MOFs under the Ar atmosphere ( 450 celcius for 5 h ) .",celcius,ZnO
337,"The conversion of reactant , reaction rate and yields of products , as well as the turnover frequency ( TOF , in units or moles reactant per mole of Co at the surface per hour , abbreviated to h−1 ) were calculated by the following equations : ( 1 ) c o n v e r s i o n % = 1 - molarity o l e s o f f i n a l r e a c t a n t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 2 ) y i e l d % = molarity o l e s o f e a c h p r o d u c t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 3 ) i n i t i a l r e a c t i o n r a t e molarity molarity o l gram c a t - 1 h - 1 = molarity o l e s o f i n i t i a l r e a c t a n t - molarity o l e s o f f i n a l r e a c t a n t a t 0.5 h r e a c t i o n t i molarity e 0.5 h × molarity a s s o f c a t a l y s t ( 4 ) TOF h - 1 = i n i t i a l r e a c t i o n r a t e × molarity o l e c u l a r w e i gram h t o f C o C o l o a d i n gram × d i s p e r s i o n o f C o ( 5 ) d i s p e r s i o n o f C o % = 6.59 s a v e r a gram e d i a molarity e t e r of C o The initial reaction rate and TOF were measured at the reaction time at 0.5 h , where dispersion of Co was calculated from the average cobalt diameter of catalysts estimated by TEM .",molarity,Co
338,"The conversion of reactant , reaction rate and yields of products , as well as the turnover frequency ( TOF , in units or moles reactant per mole of Co at the surface per hour , abbreviated to h−1 ) were calculated by the following equations : ( 1 ) c o n v e r s i o n % = 1 - molarity o l e s o f f i n a l r e a c t a n t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 2 ) y i e l d % = molarity o l e s o f e a c h p r o d u c t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 3 ) i n i t i a l r e a c t i o n r a t e molarity molarity o l gram c a t - 1 h - 1 = molarity o l e s o f i n i t i a l r e a c t a n t - molarity o l e s o f f i n a l r e a c t a n t a t 0.5 h r e a c t i o n t i molarity e 0.5 h × molarity a s s o f c a t a l y s t ( 4 ) TOF h - 1 = i n i t i a l r e a c t i o n r a t e × molarity o l e c u l a r w e i gram h t o f C o C o l o a d i n gram × d i s p e r s i o n o f C o ( 5 ) d i s p e r s i o n o f C o % = 6.59 s a v e r a gram e d i a molarity e t e r of C o The initial reaction rate and TOF were measured at the reaction time at 0.5 h , where dispersion of Co was calculated from the average cobalt diameter of catalysts estimated by TEM .",molarity,cobalt
339,"The conversion of reactant , reaction rate and yields of products , as well as the turnover frequency ( TOF , in units or moles reactant per mole of Co at the surface per hour , abbreviated to h−1 ) were calculated by the following equations : ( 1 ) c o n v e r s i o n % = 1 - molarity o l e s o f f i n a l r e a c t a n t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 2 ) y i e l d % = molarity o l e s o f e a c h p r o d u c t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 3 ) i n i t i a l r e a c t i o n r a t e molarity molarity o l gram c a t - 1 h - 1 = molarity o l e s o f i n i t i a l r e a c t a n t - molarity o l e s o f f i n a l r e a c t a n t a t 0.5 h r e a c t i o n t i molarity e 0.5 h × molarity a s s o f c a t a l y s t ( 4 ) TOF h - 1 = i n i t i a l r e a c t i o n r a t e × molarity o l e c u l a r w e i gram h t o f C o C o l o a d i n gram × d i s p e r s i o n o f C o ( 5 ) d i s p e r s i o n o f C o % = 6.59 s a v e r a gram e d i a molarity e t e r of C o The initial reaction rate and TOF were measured at the reaction time at 0.5 h , where dispersion of Co was calculated from the average cobalt diameter of catalysts estimated by TEM .",molarity,Co
340,"The conversion of reactant , reaction rate and yields of products , as well as the turnover frequency ( TOF , in units or moles reactant per mole of Co at the surface per hour , abbreviated to h−1 ) were calculated by the following equations : ( 1 ) c o n v e r s i o n % = 1 - molarity o l e s o f f i n a l r e a c t a n t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 2 ) y i e l d % = molarity o l e s o f e a c h p r o d u c t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 3 ) i n i t i a l r e a c t i o n r a t e molarity molarity o l gram c a t - 1 h - 1 = molarity o l e s o f i n i t i a l r e a c t a n t - molarity o l e s o f f i n a l r e a c t a n t a t 0.5 h r e a c t i o n t i molarity e 0.5 h × molarity a s s o f c a t a l y s t ( 4 ) TOF h - 1 = i n i t i a l r e a c t i o n r a t e × molarity o l e c u l a r w e i gram h t o f C o C o l o a d i n gram × d i s p e r s i o n o f C o ( 5 ) d i s p e r s i o n o f C o % = 6.59 s a v e r a gram e d i a molarity e t e r of C o The initial reaction rate and TOF were measured at the reaction time at 0.5 h , where dispersion of Co was calculated from the average cobalt diameter of catalysts estimated by TEM .",gram,Co
341,"The conversion of reactant , reaction rate and yields of products , as well as the turnover frequency ( TOF , in units or moles reactant per mole of Co at the surface per hour , abbreviated to h−1 ) were calculated by the following equations : ( 1 ) c o n v e r s i o n % = 1 - molarity o l e s o f f i n a l r e a c t a n t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 2 ) y i e l d % = molarity o l e s o f e a c h p r o d u c t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 3 ) i n i t i a l r e a c t i o n r a t e molarity molarity o l gram c a t - 1 h - 1 = molarity o l e s o f i n i t i a l r e a c t a n t - molarity o l e s o f f i n a l r e a c t a n t a t 0.5 h r e a c t i o n t i molarity e 0.5 h × molarity a s s o f c a t a l y s t ( 4 ) TOF h - 1 = i n i t i a l r e a c t i o n r a t e × molarity o l e c u l a r w e i gram h t o f C o C o l o a d i n gram × d i s p e r s i o n o f C o ( 5 ) d i s p e r s i o n o f C o % = 6.59 s a v e r a gram e d i a molarity e t e r of C o The initial reaction rate and TOF were measured at the reaction time at 0.5 h , where dispersion of Co was calculated from the average cobalt diameter of catalysts estimated by TEM .",gram,cobalt
342,"The conversion of reactant , reaction rate and yields of products , as well as the turnover frequency ( TOF , in units or moles reactant per mole of Co at the surface per hour , abbreviated to h−1 ) were calculated by the following equations : ( 1 ) c o n v e r s i o n % = 1 - molarity o l e s o f f i n a l r e a c t a n t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 2 ) y i e l d % = molarity o l e s o f e a c h p r o d u c t molarity o l e s o f i n i t i a l r e a c t a n t × 100 % ( 3 ) i n i t i a l r e a c t i o n r a t e molarity molarity o l gram c a t - 1 h - 1 = molarity o l e s o f i n i t i a l r e a c t a n t - molarity o l e s o f f i n a l r e a c t a n t a t 0.5 h r e a c t i o n t i molarity e 0.5 h × molarity a s s o f c a t a l y s t ( 4 ) TOF h - 1 = i n i t i a l r e a c t i o n r a t e × molarity o l e c u l a r w e i gram h t o f C o C o l o a d i n gram × d i s p e r s i o n o f C o ( 5 ) d i s p e r s i o n o f C o % = 6.59 s a v e r a gram e d i a molarity e t e r of C o The initial reaction rate and TOF were measured at the reaction time at 0.5 h , where dispersion of Co was calculated from the average cobalt diameter of catalysts estimated by TEM .",gram,Co
343,The aim of sealing the reactor with H2 atmosphere is to provide a reductive and protective atmosphere for the Ni-based metal catalyst .,atm,Ni
344,"Meanwhile , effects of Ni/Sn ratio in NiSnH catalyst , reaction temperature and reaction time were also further investigated , respectively .",temperature,Sn
345,"Meanwhile , effects of Ni/Sn ratio in NiSnH catalyst , reaction temperature and reaction time were also further investigated , respectively .",temperature,Ni
346,"Meanwhile , effects of Ni/Sn ratio in NiSnH catalyst , reaction temperature and reaction time were also further investigated , respectively .",temperature,NiSnH
347,"The reduced catalysts were stored under argon , and all the subsequent manipulations were carefully performed in order to minimise the contact with atmospheric air .",atm,argon
348,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",temperature,Ni
349,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",temperature,Al
350,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",temperature,Na2CO3
351,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",temperature,Mg
352,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",Molality,Ni
353,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",Molality,Al
354,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",Molality,Na2CO3
355,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",Molality,Mg
356,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",celcius,Ni
357,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",celcius,Al
358,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",celcius,Na2CO3
359,"2.1.2 Co-precipitated catalysts The co-precipitated catalysts were prepared following a previously described procedure by a continuous co-precipitation of a 1 Molality solution containing the nitrates of the metals : ( Ni ( NO3 ) 2 , Mg ( NO3 ) 2 and Al ( NO3 ) 3 ) , using an alkaline solution of Na2CO3 ( 2 Molality ) , at constant temperature and pH ( 50 celcius and 8.0 ± 0.1 , respectively ) .",celcius,Mg
360,The reduction temperature of 700 celcius was adopted based on the TPR profiles of the samples to reduce NiO in both catalyst types ( supported and co-precipitated ) .,temperature,NiO
361,The reduction temperature of 700 celcius was adopted based on the TPR profiles of the samples to reduce NiO in both catalyst types ( supported and co-precipitated ) .,celcius,NiO
362,"Next , in order to prepare 9 wt % Pd catalysts supported on NH2-OH-KIE-6 , palladium nitrate hydrate ( 0.0392 gram ) was added into the DI water ( 10 mL ) and stirred , and then the support ( NH2-OH-KIE-6 , 0.18 gram ) was added and the mixture was stirred again .",gram,Pd
363,"The reactivity of the catalyst regarding the ethanol oxidation reaction was evaluated by cyclic voltammetry in a solution of 0.5 Molality H2SO4 and 1 Molality ethanol , saturated with nitrogen , for 900 cycles at 0.050 V s−1 .",Molality,H2SO4
364,"Each catalyst was prepared to ink solution by dispersing 10 mg of the catalyst in 1 mL solution ( ethanol : isopropyl alcohol = 1:1 ) with 5 mg Nafion ( Sigma-Aldrich ) , volumetric ratio ) .",volume,Nafion
365,"Then , HER profiles were investigated in N2-saturated 1 Molality KOH aqueous solution at a scan rate of 10 mV s−1 by drop-coating 5 μL of each catalyst ink onto glassy carbon disk electrode , where the area is 0.13 cm2 .",Molality,KOH
366,"Finally , the samples were calcined at 350 celcius in N2 atmosphere for 4 h. Nitrogen adsorption experiments were performed to study the pore structure of xNa-Co/AC catalysts on a Micromeritics 2420 instrument .",atm,Co
367,"Finally , the samples were calcined at 350 celcius in N2 atmosphere for 4 h. Nitrogen adsorption experiments were performed to study the pore structure of xNa-Co/AC catalysts on a Micromeritics 2420 instrument .",celcius,Co
368,Temperature-programmed reduction ( TPR ) measurements were carried out to study the reduction behavior of xNa-Co/AC catalysts with a Micromeritics Autochem-II 2920 instrument .,gram,Co
369,"Ag @ Cu-X : at room temperature , the obtained Ag @ Cu particles were treated with 1–60 min in 100W and 20 ml/min air-plasma to obtain a series of catalysts with different Cu–CuO interfaces , denoted as Ag @ Cu-X ( X = 1–60 min ) .",temperature,Ag
370,"Ag @ Cu-X : at room temperature , the obtained Ag @ Cu particles were treated with 1–60 min in 100W and 20 ml/min air-plasma to obtain a series of catalysts with different Cu–CuO interfaces , denoted as Ag @ Cu-X ( X = 1–60 min ) .",temperature,Ag
371,"Ag @ Cu-X : at room temperature , the obtained Ag @ Cu particles were treated with 1–60 min in 100W and 20 ml/min air-plasma to obtain a series of catalysts with different Cu–CuO interfaces , denoted as Ag @ Cu-X ( X = 1–60 min ) .",temperature,Cu
372,"Ag @ Cu-X : at room temperature , the obtained Ag @ Cu particles were treated with 1–60 min in 100W and 20 ml/min air-plasma to obtain a series of catalysts with different Cu–CuO interfaces , denoted as Ag @ Cu-X ( X = 1–60 min ) .",temperature,Cu
373,"Ag @ Cu-X : at room temperature , the obtained Ag @ Cu particles were treated with 1–60 min in 100W and 20 ml/min air-plasma to obtain a series of catalysts with different Cu–CuO interfaces , denoted as Ag @ Cu-X ( X = 1–60 min ) .",temperature,Ag
374,"Ag @ Cu-X : at room temperature , the obtained Ag @ Cu particles were treated with 1–60 min in 100W and 20 ml/min air-plasma to obtain a series of catalysts with different Cu–CuO interfaces , denoted as Ag @ Cu-X ( X = 1–60 min ) .",temperature,CuO
375,"The catalysts were put in a quartz tube of 6 mm ID to form a packed bed , in which a coaxially centered thermocouple was installed to measure the bed temperature .",temperature,quartz
376,"To compare with the amorphous BiS x -modified TiO2 photocatalyst , the crystalline Bi2S3-modified TiO2 ( c-Bi2S3/TiO2 ( 5.0 wt % ) ) was synthesized via calcining the BiS x /TiO2 ( 5.0 wt % ) at 400°C for 2 h under N2 atmosphere .",atm,TiO2
377,"To compare with the amorphous BiS x -modified TiO2 photocatalyst , the crystalline Bi2S3-modified TiO2 ( c-Bi2S3/TiO2 ( 5.0 wt % ) ) was synthesized via calcining the BiS x /TiO2 ( 5.0 wt % ) at 400°C for 2 h under N2 atmosphere .",atm,TiO2
378,"To compare with the amorphous BiS x -modified TiO2 photocatalyst , the crystalline Bi2S3-modified TiO2 ( c-Bi2S3/TiO2 ( 5.0 wt % ) ) was synthesized via calcining the BiS x /TiO2 ( 5.0 wt % ) at 400°C for 2 h under N2 atmosphere .",atm,Bi2S3
379,"To compare with the amorphous BiS x -modified TiO2 photocatalyst , the crystalline Bi2S3-modified TiO2 ( c-Bi2S3/TiO2 ( 5.0 wt % ) ) was synthesized via calcining the BiS x /TiO2 ( 5.0 wt % ) at 400°C for 2 h under N2 atmosphere .",atm,TiO2
380,"To compare with the amorphous BiS x -modified TiO2 photocatalyst , the crystalline Bi2S3-modified TiO2 ( c-Bi2S3/TiO2 ( 5.0 wt % ) ) was synthesized via calcining the BiS x /TiO2 ( 5.0 wt % ) at 400°C for 2 h under N2 atmosphere .",atm,TiO2
381,An ordinary three-electrode electrochemical analyzer with the electrolyte as Na2SO4 ( 0.2 Molality ) aqueous solution was used to test the photoelectrochemistry performance of all catalyst .,Molality,Na2SO4
382,The apparent quantum efficiency ( AQE ) was calculated by the following relation : % A Q E = n o o f r e a c t e d e l e c t r o n s n o o f i n c i d e n t p h o t o n s X 100 = n o o f H 2 molarity o l e c u l e s e v o l v e d X 2 n o o f i n c i d e n t p h o t o n s X 100 For determining the AQE for the photocatalysts 500 W Xe lamp ( 240 mW cm−2 ) with 420 ( ±5 ) nm band-pass filter was used .,molarity,Xe
383,"Operation process , The sample was placed in a quartz reactor for pretreatment , and the temperature was raised from room temperature at 10 °C/min to 150 celcius with the introduction of He ( 50cm3/min ) , and the temperature was treated for two hours to remove the organic solvent absorbed in the catalyst .",temperature,quartz
384,"Operation process , The sample was placed in a quartz reactor for pretreatment , and the temperature was raised from room temperature at 10 °C/min to 150 celcius with the introduction of He ( 50cm3/min ) , and the temperature was treated for two hours to remove the organic solvent absorbed in the catalyst .",atm,quartz
385,"Operation process , The sample was placed in a quartz reactor for pretreatment , and the temperature was raised from room temperature at 10 °C/min to 150 celcius with the introduction of He ( 50cm3/min ) , and the temperature was treated for two hours to remove the organic solvent absorbed in the catalyst .",celcius,quartz
386,"( R5 ) T C % = ( n co + n co 2 + n C H 4 ) / 7 n toluene × 100 A series of analysis methods such as N2 isothermal adsorption–desorption , powder X-ray diffraction ( XRD ) and H2 temperature-programmed reduction ( H2-TPR ) were used to characterize Ni/α-Al2O3 catalyst .",temperature,Ni
387,"( R5 ) T C % = ( n co + n co 2 + n C H 4 ) / 7 n toluene × 100 A series of analysis methods such as N2 isothermal adsorption–desorption , powder X-ray diffraction ( XRD ) and H2 temperature-programmed reduction ( H2-TPR ) were used to characterize Ni/α-Al2O3 catalyst .",gram,Ni
388,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",temperature,argon
389,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",temperature,nickel
390,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",temperature,aluminum
391,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",gram,argon
392,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",gram,nickel
393,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",gram,aluminum
394,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",celcius,argon
395,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",celcius,nickel
396,"After adding the catalyst prepared from 0.45 gram of aluminum–nickel alloy , the reactor was closed , purged with argon under stirring and heated up with the rate of ∼7 celcius min−1 to reach the reaction temperature of 150 ± 1 celcius .",celcius,aluminum
397,Batch reactions were performed in a 5 × 10−5 m3 autoclave ( Parr Instruments Ltd. USA ) in the temperature range of 303–323 kelvin and 1–3 MPa pressure using 5 % Pt/C catalyst .,temperature,Pt
398,Batch reactions were performed in a 5 × 10−5 m3 autoclave ( Parr Instruments Ltd. USA ) in the temperature range of 303–323 kelvin and 1–3 MPa pressure using 5 % Pt/C catalyst .,pressure,Pt
399,Batch reactions were performed in a 5 × 10−5 m3 autoclave ( Parr Instruments Ltd. USA ) in the temperature range of 303–323 kelvin and 1–3 MPa pressure using 5 % Pt/C catalyst .,kelvin,Pt
400,The supported Rh catalysts with various Rh contents were prepared via an equivalent-volume impregnation method by adding the above Mo2C into the appropriate concentration of RhCl3 aqueous solution .,concentration,Mo2C
401,The supported Rh catalysts with various Rh contents were prepared via an equivalent-volume impregnation method by adding the above Mo2C into the appropriate concentration of RhCl3 aqueous solution .,volume,Mo2C
402,"In the same way , the supported Rh catalysts were prepared via the equivalent-volume impregnation method by adding the above K/Mo2C samples into the appropriate concentration of RhCl3 aqueous solution .",concentration,Mo2C
403,"In the same way , the supported Rh catalysts were prepared via the equivalent-volume impregnation method by adding the above K/Mo2C samples into the appropriate concentration of RhCl3 aqueous solution .",volume,Mo2C
404,"Through drying overnight , the sample was calcinated at 500 celcius for 3 h. Finally , the catalyst was obtained and designated as MoFe/x-KIT-6 , in which x means the Ti , V or Nb .",celcius,Ti
405,"For apparent quantum efficiency ( AQE ) valuations , 10 mg photocatalyst , 18 mL ultrapure water ( seawater ) , 2 mL lactic acid and a stir pressure were put into a quartz photo-reactor vial with a total volume of 60 mL .",pressure,quartz
406,"For apparent quantum efficiency ( AQE ) valuations , 10 mg photocatalyst , 18 mL ultrapure water ( seawater ) , 2 mL lactic acid and a stir pressure were put into a quartz photo-reactor vial with a total volume of 60 mL .",volume,quartz
407,"All chemicals required to prepare the supports and the catalysts were used as purchased : tetraethylorthosilicate ( Si ( OC2H5 ) 4 , TEOS , 98 % , Sigma-Aldrich ) , nonionic triblock copolymer Pluronic P123 ( poly ( ethyleneoxide ) -block - poly- ( propyleneoxide ) -block - poly ( ethyleneoxide ) -block , EO20PO70EO20 , molecular weight = 5800 , BASF Corp. ) , distilled water , hydrochloric acid ( HCl , 37 % , Sigma-Aldrich ) , nitric acid ( HNO3 , 67 % , Sigma-Aldrich ) , aluminium iso-propoxide ( C9H21AlO3 , 98 % , Sigma-Aldrich ) , ethanol ( C2H6O , 100 % , Sigma-Aldrich ) , aluminium nitrate ( Al ( NO3 ) 2·9H2O , 98.5 % , Sigma-Aldrich ) , ammonium hydroxide solution ( 28 % in water , Fluka ) , and copper nitrate ( Cu ( NO3 ) 2·3H2O , 98 % , Sigma-Aldrich ) .",weight,Al
408,"All chemicals required to prepare the supports and the catalysts were used as purchased : tetraethylorthosilicate ( Si ( OC2H5 ) 4 , TEOS , 98 % , Sigma-Aldrich ) , nonionic triblock copolymer Pluronic P123 ( poly ( ethyleneoxide ) -block - poly- ( propyleneoxide ) -block - poly ( ethyleneoxide ) -block , EO20PO70EO20 , molecular weight = 5800 , BASF Corp. ) , distilled water , hydrochloric acid ( HCl , 37 % , Sigma-Aldrich ) , nitric acid ( HNO3 , 67 % , Sigma-Aldrich ) , aluminium iso-propoxide ( C9H21AlO3 , 98 % , Sigma-Aldrich ) , ethanol ( C2H6O , 100 % , Sigma-Aldrich ) , aluminium nitrate ( Al ( NO3 ) 2·9H2O , 98.5 % , Sigma-Aldrich ) , ammonium hydroxide solution ( 28 % in water , Fluka ) , and copper nitrate ( Cu ( NO3 ) 2·3H2O , 98 % , Sigma-Aldrich ) .",weight,tetraethylorthosilicate
409,"All chemicals required to prepare the supports and the catalysts were used as purchased : tetraethylorthosilicate ( Si ( OC2H5 ) 4 , TEOS , 98 % , Sigma-Aldrich ) , nonionic triblock copolymer Pluronic P123 ( poly ( ethyleneoxide ) -block - poly- ( propyleneoxide ) -block - poly ( ethyleneoxide ) -block , EO20PO70EO20 , molecular weight = 5800 , BASF Corp. ) , distilled water , hydrochloric acid ( HCl , 37 % , Sigma-Aldrich ) , nitric acid ( HNO3 , 67 % , Sigma-Aldrich ) , aluminium iso-propoxide ( C9H21AlO3 , 98 % , Sigma-Aldrich ) , ethanol ( C2H6O , 100 % , Sigma-Aldrich ) , aluminium nitrate ( Al ( NO3 ) 2·9H2O , 98.5 % , Sigma-Aldrich ) , ammonium hydroxide solution ( 28 % in water , Fluka ) , and copper nitrate ( Cu ( NO3 ) 2·3H2O , 98 % , Sigma-Aldrich ) .",weight,TEOS
410,"All chemicals required to prepare the supports and the catalysts were used as purchased : tetraethylorthosilicate ( Si ( OC2H5 ) 4 , TEOS , 98 % , Sigma-Aldrich ) , nonionic triblock copolymer Pluronic P123 ( poly ( ethyleneoxide ) -block - poly- ( propyleneoxide ) -block - poly ( ethyleneoxide ) -block , EO20PO70EO20 , molecular weight = 5800 , BASF Corp. ) , distilled water , hydrochloric acid ( HCl , 37 % , Sigma-Aldrich ) , nitric acid ( HNO3 , 67 % , Sigma-Aldrich ) , aluminium iso-propoxide ( C9H21AlO3 , 98 % , Sigma-Aldrich ) , ethanol ( C2H6O , 100 % , Sigma-Aldrich ) , aluminium nitrate ( Al ( NO3 ) 2·9H2O , 98.5 % , Sigma-Aldrich ) , ammonium hydroxide solution ( 28 % in water , Fluka ) , and copper nitrate ( Cu ( NO3 ) 2·3H2O , 98 % , Sigma-Aldrich ) .",weight,Si
411,"All chemicals required to prepare the supports and the catalysts were used as purchased : tetraethylorthosilicate ( Si ( OC2H5 ) 4 , TEOS , 98 % , Sigma-Aldrich ) , nonionic triblock copolymer Pluronic P123 ( poly ( ethyleneoxide ) -block - poly- ( propyleneoxide ) -block - poly ( ethyleneoxide ) -block , EO20PO70EO20 , molecular weight = 5800 , BASF Corp. ) , distilled water , hydrochloric acid ( HCl , 37 % , Sigma-Aldrich ) , nitric acid ( HNO3 , 67 % , Sigma-Aldrich ) , aluminium iso-propoxide ( C9H21AlO3 , 98 % , Sigma-Aldrich ) , ethanol ( C2H6O , 100 % , Sigma-Aldrich ) , aluminium nitrate ( Al ( NO3 ) 2·9H2O , 98.5 % , Sigma-Aldrich ) , ammonium hydroxide solution ( 28 % in water , Fluka ) , and copper nitrate ( Cu ( NO3 ) 2·3H2O , 98 % , Sigma-Aldrich ) .",weight,Cu
412,Prior to catalytic tests the Cu-Fe3O4 catalyst was reduced ex-situ in 2-propanol ( 13 mg catalyst/ml ) under 50 pressure H2 at 180 celcius for 5 h. X-ray diffraction ( XRD ) analysis was carried out using a PANalytical X ’ Pert diffractometer equipped with a copper anode ( λmean = 0.15418 nm ) and a fast X ’ Celerator detector .,pressure,copper
