,sentence,process_name
4924,The experiments were performed at atmospheric pressure with time-on-stream (TOS) of 6 h and reaction temperature of 650 °C.,pressure
4925,The experiments were performed at atmospheric pressure with time-on-stream (TOS) of 6 h and reaction temperature of 650 °C.,celcius
4926,Reaction temperature was chosen from a previous work in which pure glycerol was completely converted .,temperature
4927,"After the first cycle, regeneration was carried out at 650 °C for 1 h under 50% O2/Ar atmosphere (20 mL min−1).",celcius
4928,"Duplicate 70 ml samples were placed in two cenrtifuge tubes (one for NAD+ and the other for NADH determination) and centrifuged with 14,000 rpm at 4 °C for 5 min.",celcius
4929,"The cellular debris was removed by centrifuging with 14,000 rpm at 4 °C for 5 min.",celcius
4930,"Cell concentration of the culture was determined regularly by measuring the optical density at a wavelength of 660 nm (i.e., OD660) using a spectrophotometer (Spectrumlab 22pc, Shanghai, China).",concentration
4931,"PVA (average molecular weight; 44.05 g/mole, 95.4 % purity, 87.16 % hydrolysis degree, 24.9 mPa.S viscosity) was purchased from Zag Kimya (İstanbul, TURKEY).",weight
4932,"Before using Co-NC-n as the catalyst for NB hydrogenation, it was activated at 600 °C under H2 flow for 4 h to expose active sites and also reduce metal particle into possible single-atom outside the surface of carbons.",celcius
4933,"Liquid solution was measured on a Agilent 6890 N gas chromatograph (GC) equipped with Agilent HP-1NNOW AX capillary column (30 m × 0.25 mm) and FID detector, and chlorobenzene was used as the internal standard.",molarity
4934,"After vacuum-drying, catalyst was treated in H2 flow at 600 °C for 4 h for the next cycle, and Co-NC-8 was reused for at least seven runs.",celcius
4935,The sample temperature was kept at 400°C for 4h during the Pd sputter deposition.,temperature
4936,All the measurements were performed at room temperature.,temperature
4937,All the measurements were performed at room temperature.,temperature
4938,Millipore water (18.2MΩ·cm at room temperature) was used in all experiments.,temperature
4939,"Flasks were then placed in an atmosphere of He (99.99%) for 5 min and incubated at 37 °C for 48 h, without agitation.",celcius
4940,"They were then capped with butyl rubber stoppers, wrapped and kept at 37 ± 1 °C, without agitation.",celcius
4941,In condition (4) there was a 2000 mL reaction medium volume and 3000 mL of headspace and was otherwise similar to the previous assays.,volume
4942,This change of volume and headspace was necessary to prevent the gas produced from popping up the reactor because the xylose concentration was higher in this condition.,concentration
4943,This change of volume and headspace was necessary to prevent the gas produced from popping up the reactor because the xylose concentration was higher in this condition.,volume
4944,"A typical method is used to prepare g-C3N4, where 10 g of urea is placed in a 30 mL alumina crucible, covered with aluminium foil, and kept warm for 4 h at 550 °C in muff furnace.",gram
4945,"A typical method is used to prepare g-C3N4, where 10 g of urea is placed in a 30 mL alumina crucible, covered with aluminium foil, and kept warm for 4 h at 550 °C in muff furnace.",celcius
4946,"Under 300 W xenon lamp, the temperature was maintained to 5 °C, and the escaping gas was recorded and analyzed from a gas chromatograph.",temperature
4947,"Under 300 W xenon lamp, the temperature was maintained to 5 °C, and the escaping gas was recorded and analyzed from a gas chromatograph.",celcius
4948,"After the activation of catalyst by stirring in water (20mL) under H2 (2.0MPa) at 120°C for 1h, an aqueous acetic acid solution (10mL) was added to the solution, and the mixture was stirred at the designated temperature and pressure for 12–24h.",temperature
4949,"After the activation of catalyst by stirring in water (20mL) under H2 (2.0MPa) at 120°C for 1h, an aqueous acetic acid solution (10mL) was added to the solution, and the mixture was stirred at the designated temperature and pressure for 12–24h.",pressure
4950,"The products and acetic acid in the liquid phase were determined by high-performance liquid chromatography (HPLC) with a LC-20A (Shimadzu, Kyoto, Japan) under the chromatographic conditions: column: Aminex HPX-87H (300mm×7.8mm, Bio-Rad, Helucles, CA, USA), eluent: 5mmol% H2SO4/flow rate: 0.6mL/min, column temperature: 60°C, detector: refractive index.",temperature
4951,"The reactor was built using acrylic tubes with an inner diameter of 80 mm, an outer diameter of 88 mm and a length of 750 mm, a bed volume of 2.5 L and a total volume of 3.5 L. Each reactor was divided into three compartments (the entrance of the influent, the effluent exit and the fixed-bed), which were separated by a stainless steel mesh (5-mm aperture) that was fixed using 5-mm rods made from the same material.",volume
4952,The system was operated continuously at a controlled temperature of 25 °C.,temperature
4953,The system was operated continuously at a controlled temperature of 25 °C.,celcius
4954,"The temperatures of the injector, detector and column were maintained at 30 °C, 200 °C and 230 °C, respectively.",celcius
4955,"Reaction conversions and selectivity were determined by GC-FID analysis using an Agilent 6890 Gas 0,25 Chromatography system with a Alltech Heliflex AT-5 capillary column (30 m × 0.32 mm ID × 0.25 μm).",molarity
4956,The thermal program comprised three steps: i) heating at rate of 5 °C min−1 from 25 to 200 °C; ii) maintenance of the temperature of 200 °C for 30 min and iii) heating at rate of 10 °C min−1 up to 900 °C .,temperature
4957,The thermal program comprised three steps: i) heating at rate of 5 °C min−1 from 25 to 200 °C; ii) maintenance of the temperature of 200 °C for 30 min and iii) heating at rate of 10 °C min−1 up to 900 °C .,celcius
4958,"The experiments were performed on a thin disk of sample (20–30 mg, pressed at 1–2 tons) after a reduction pre-treatment consisting in 20 min at 270° at air followed by 20 min at 270 °C under vacuum and finally a reduction under H2 through three hydrogen (1 bar) and vacuum cycle at the same temperature.",temperature
4959,"The experiments were performed on a thin disk of sample (20–30 mg, pressed at 1–2 tons) after a reduction pre-treatment consisting in 20 min at 270° at air followed by 20 min at 270 °C under vacuum and finally a reduction under H2 through three hydrogen (1 bar) and vacuum cycle at the same temperature.",pressure
4960,"The experiments were performed on a thin disk of sample (20–30 mg, pressed at 1–2 tons) after a reduction pre-treatment consisting in 20 min at 270° at air followed by 20 min at 270 °C under vacuum and finally a reduction under H2 through three hydrogen (1 bar) and vacuum cycle at the same temperature.",celcius
4961,"A, B and C are the independent variables of this study (fuel flow rate, fuel concentration, and operating temperature, respectively).",temperature
4962,"A, B and C are the independent variables of this study (fuel flow rate, fuel concentration, and operating temperature, respectively).",concentration
4963,"The historical data with 100 conditions were applied with three variables: methanol concentration of 1–8 M, operating temperature of 30–70 °C, and MOR content of 0–10 wt%.",temperature
4964,"The historical data with 100 conditions were applied with three variables: methanol concentration of 1–8 M, operating temperature of 30–70 °C, and MOR content of 0–10 wt%.",concentration
4965,"The historical data with 100 conditions were applied with three variables: methanol concentration of 1–8 M, operating temperature of 30–70 °C, and MOR content of 0–10 wt%.",Molality
4966,"The historical data with 100 conditions were applied with three variables: methanol concentration of 1–8 M, operating temperature of 30–70 °C, and MOR content of 0–10 wt%.",celcius
4967,"After that, the catalytic coated backings and pre-treated membrane electrolytes were assembled together by hot-pressing at 135 °C with pressure of 50 kg/cm2 for 3 min to obtain MEA.",pressure
4968,"After that, the catalytic coated backings and pre-treated membrane electrolytes were assembled together by hot-pressing at 135 °C with pressure of 50 kg/cm2 for 3 min to obtain MEA.",celcius
4969,The operating temperature of the fuel cell was controlled by a temperature controller together with a thermocouple and electric heaters.,temperature
4970,The values obtained are a reasonable consequence of the formation of oligomers of furfural at high reaction temperature.,temperature
4971,A solution of trans-cinnamaldehyde (1 g) and nonane (0.47 g) in isopropanol (50 mL) prepared in a glove-box was introduced into the autoclave.,gram
4972,"Then, the autoclave was pressurized with 20 bar of H2 and heated to 70 °C under stirring (1000 rpm).",pressure
4973,"Then, the autoclave was pressurized with 20 bar of H2 and heated to 70 °C under stirring (1000 rpm).",celcius
4974,The pressure was stable during the whole reaction by means of a gas-ballast connected to the autoclave.,pressure
4975,"After the desired reaction time, the autoclave was cooled to room temperature and depressurised.",temperature
4976,The autoclave was pressurized with 20 bar of H2 and heated to 70 °C under stirring (1000 rpm) for different reaction times.,pressure
4977,The autoclave was pressurized with 20 bar of H2 and heated to 70 °C under stirring (1000 rpm) for different reaction times.,celcius
4978,"After the desired reaction time, the autoclave was cooled to room temperature and depressurised.",temperature
4979,The sample was then cooled to ambient temperature and treated with pure NH3.,temperature
4980,The top zone was empty and maintained at the same temperature as the catalyst bed.,temperature
4981,H2 flow through the reactor was controlled by a Sierra Instruments mass flow controller to be 150ml/min and pressure of the system was maintained by the back pressure regulator included with the reactor.,pressure
4982,"Under these conditions of flow, the substrate stream is in laminar flow and has a Reynolds number of 3, indicating that there is sufficient volume for mixing in the empty upper portion of the reactor and the gas is at equilibrium when it reaches the catalyst bed.",volume
4983,"The catalytic co-liquefaction experiments were conducted at 280 °C reaction temperature, 75 min reaction time, 1:20 feedstock to solvent ratio, 15 % biomass to polyethylene and 300 rpm according to our previous study suggesting the optimum conditions for co-liquefaction of sugarcane bagasse and polyethylene via Taguchi method of design of experiments (DoE) .",temperature
4984,"The catalytic co-liquefaction experiments were conducted at 280 °C reaction temperature, 75 min reaction time, 1:20 feedstock to solvent ratio, 15 % biomass to polyethylene and 300 rpm according to our previous study suggesting the optimum conditions for co-liquefaction of sugarcane bagasse and polyethylene via Taguchi method of design of experiments (DoE) .",celcius
4985,The nitrogen gas was purged into the reactor that was heated to an operating temperature of 280 °C and held for 75 min while stirring the contents at 300 rpm.,temperature
4986,The nitrogen gas was purged into the reactor that was heated to an operating temperature of 280 °C and held for 75 min while stirring the contents at 300 rpm.,celcius
4987,"After that reactor was cooled to room temperature via cooling coil present in the reactor, the gaseous content was removed in a hood and the solid and liquid products were vacuum filtered through a Whatman filter to separate solid and liquid products as shown in) Fig.",temperature
4988,(4) H H V M J K g = { 0.3516 * C + 1.1625 * H - 0.119 * O + 0.0628 * N The composition of chemical compounds of the bio-oil was achieved using PerkinElmer (Clarus 680) mass spectrometry gas chromatography (GC–MS).,Molality
4989,(4) H H V M J K g = { 0.3516 * C + 1.1625 * H - 0.119 * O + 0.0628 * N The composition of chemical compounds of the bio-oil was achieved using PerkinElmer (Clarus 680) mass spectrometry gas chromatography (GC–MS).,gram
4990,(4) H H V M J K g = { 0.3516 * C + 1.1625 * H - 0.119 * O + 0.0628 * N The composition of chemical compounds of the bio-oil was achieved using PerkinElmer (Clarus 680) mass spectrometry gas chromatography (GC–MS).,kelvin
4991,The separation was performed using an HP column (30 m x0.25 mm x5 μm).,molarity
4992,Pure rutile phase TiO2 powder (R-TiO2) was gained when the annealing temperature increased to 800 °C  in this work.,temperature
4993,Pure rutile phase TiO2 powder (R-TiO2) was gained when the annealing temperature increased to 800 °C  in this work.,celcius
4994,Powder X-ray diffraction (XRD) patterns were used to characterize the structures of samples on a Bruker AXS D8 Advance powder diffractometer with a Cu Kα X-ray tube (λ = 0.154056 nm) at room temperature.,temperature
4995,Photoluminescence (PL) measurements were carried out on a Hitachi F-4500 fluorescence spectrophotometer with 257 nm excitation wavelength at room temperature.,temperature
4996,The temperature was maintained at 15 °C.,temperature
4997,The temperature was maintained at 15 °C.,celcius
4998,All measurements were carried out at room temperature.,temperature
4999,The carbonization of electrospinning nanofibers was operated in a tube furnace under nitrogen atmosphere at 800 °C for 2 h with a heating rate of 5 °C min−1.,celcius
5000,"The tightly locked autoclave was maintained at 120 °C for 8 h. After cooling to room temperature naturally, the membrane of Ni–Co-precursor nanowires (Ni–Co-pre-NWs) on nitrogen-doped carbon nanofibers was removed from the solution, washed with DI water and alcohol for several times to remove any unreacted residues, dried at 80 °C overnight, and denoted as Ni–Co-pre-NWs/NCNFs.",temperature
5001,"The tightly locked autoclave was maintained at 120 °C for 8 h. After cooling to room temperature naturally, the membrane of Ni–Co-precursor nanowires (Ni–Co-pre-NWs) on nitrogen-doped carbon nanofibers was removed from the solution, washed with DI water and alcohol for several times to remove any unreacted residues, dried at 80 °C overnight, and denoted as Ni–Co-pre-NWs/NCNFs.",celcius
5002,"Then, a piece of NiCo2O4-NWs/NCNFs membrane (2 cm × 4 cm) was immersed into 40 mL of the above solution, transferred into 80 mL Teflon-lined stainless-steel autoclave, and reacted at 180 °C for 6 h by using hydrothermal method.",celcius
5003,"After high-temperature annealing treatment of NiCo2S4-NWs/NCNFs at 450 °C for 6 h, the sulfur vacancy-rich NiCo2S4 nanowires on nitrogen-doped carbon nanofibers (VS–NiCo2S4-NWs/NCNFs) were successfully synthesized.",celcius
5004,"All electrochemical measurements were conducted on an electrochemical working station (CHI600D, Chenhua Instruments Co. Ltd., Shanghai) in a typical three-electrode configuration at room temperature with 0.5 M H2SO4 electrolyte, where graphite rod, and Ag/AgCl reference electrode (3 M KCl) were used as counter and reference electrode, respectively.",temperature
5005,"All electrochemical measurements were conducted on an electrochemical working station (CHI600D, Chenhua Instruments Co. Ltd., Shanghai) in a typical three-electrode configuration at room temperature with 0.5 M H2SO4 electrolyte, where graphite rod, and Ag/AgCl reference electrode (3 M KCl) were used as counter and reference electrode, respectively.",Molality
5006,"The liquid phase samples were tested on a Varian 600 MHz spectrometer at ambient temperature, and the chemical shifts were calibrated by CD3SO.",temperature
5007,"The values of P, R m and λ for each batch were estimated using the solver function in Excel (version 5.0, Microsoft) with a Newtonian algorithm.",molarity
5008,"Different weight percent of PVA solutions were prepared with constant stirring and functionalized powder was ultra-sonicated for 30 min, finally both the solutions were mixed and stirred for 8 h at room temperature.",temperature
5009,"Different weight percent of PVA solutions were prepared with constant stirring and functionalized powder was ultra-sonicated for 30 min, finally both the solutions were mixed and stirred for 8 h at room temperature.",weight
5010,"(1) X c % = ∆ H m − ∆ H c ∆ H 0 m 1 − wt × 100 where ∆Hm = Melting enthalpy, ∆Hc = Crystallization enthalpy, ∆H0 m = Melting enthalpy of 100% crystalline sample (∆H0 m = 138.6 J g−1) and wt = weight fraction of the filler in the nanocomposites.",weight
5011,"(1) X c % = ∆ H m − ∆ H c ∆ H 0 m 1 − wt × 100 where ∆Hm = Melting enthalpy, ∆Hc = Crystallization enthalpy, ∆H0 m = Melting enthalpy of 100% crystalline sample (∆H0 m = 138.6 J g−1) and wt = weight fraction of the filler in the nanocomposites.",molarity
5012,"2.2.10 Swelling ratio To measure the swelling behaviour of nanocomposite films, samples were cut into 1 cm × 1 cm size and then immersed in phosphate buffer saline (PBS, pH-7.4) at 37 °C.",celcius
5013,Cells were maintained at 37 °C and 5% CO2 in a humidified atmosphere and were used for the experiments at least after three consecutive passages.,celcius
5014,Spent medium was removed and the cells were fixed using chilled methanol for 30 min at room temperature.,temperature
5015,"Blood samples were centrifuged at 3000 rpm at room temperature for about 10 min, then the supernatants i.e.",temperature
5016,"Then, 200 μl of the blood sample and 200 μl test sample was added and incubated for 30 min at 37 °C.",celcius
5017,"Further, 4 ml of physiological saline was added to stop hemolysis, and these samples were incubated for 60 min at 37 °C.",celcius
5018,"It was routinely grown at 37 °C in a modified ATTC medium  containing (L−1): 1.5 g KH2PO4, 4.2 g Na2HPO4, 0.5 g NH4Cl, 0.18 g MgCl2, 0.5 g cysteine-HCl, 2.0 g yeast extract, 10 g xylose, 5 ml trace element solution, l ml vitamin solution .",gram
5019,"It was routinely grown at 37 °C in a modified ATTC medium  containing (L−1): 1.5 g KH2PO4, 4.2 g Na2HPO4, 0.5 g NH4Cl, 0.18 g MgCl2, 0.5 g cysteine-HCl, 2.0 g yeast extract, 10 g xylose, 5 ml trace element solution, l ml vitamin solution .",celcius
5020,"For the formation of the mycelia pellet, the strain was maintained in a liquid medium at 30 °C in a gyratory incubator-shaker at a rotational speed of 140 rpm/min.",celcius
5021,"In batch tests, pH, residual carbon substrate concentration, and quantity and compositions of produced biogas were determined, and all treatments were carried out in triplicate to check data reproducibility.",concentration
5022,"The fermentation was performed with substrate concentration of 10 g L−1 at agitation speed of 200rpm, temperature 37 °C and pH 7.0.",temperature
5023,"The fermentation was performed with substrate concentration of 10 g L−1 at agitation speed of 200rpm, temperature 37 °C and pH 7.0.",concentration
5024,"The fermentation was performed with substrate concentration of 10 g L−1 at agitation speed of 200rpm, temperature 37 °C and pH 7.0.",gram
5025,"The fermentation was performed with substrate concentration of 10 g L−1 at agitation speed of 200rpm, temperature 37 °C and pH 7.0.",celcius
5026,"Gases were determined by GC (GC-SC2, Shanghai Analytical Apparatus, Shanghai, China) equipped with a thermal conductivity detector and a 2.0 m stainless steel column packed with TDS-01 (60/80 mesh) and N2 at a flow rate of 70 ml/min as carrier gas.",molarity
5027,The diffractometer employing Cu-Kα radiation to generate diffraction patterns from powder crystalline samples at ambient temperature.,temperature
5028,The acidity of the catalyst was studied by temperature programmed desorption using NH3 as probe molecule.,temperature
5029,The reaction was started by stirring at 350rpm and heated to specified temperature and time.,temperature
5030,"Then, the mixture was cooled to room temperature and separated by centrifuge (Kubota 4200) at rpm 350 for 20min.",temperature
5031,2.3.1 Sequential aldol condensation and hydrogenation experiment All reactions were carried out in a 25 mL autoclave reactor with an external temperature and stirring controller.,temperature
5032,"After the experiment, the reactor was cooled to room temperature.",temperature
5033,It proceeded at the reaction temperature of 260 °C and reaction time of 12 h. The reactor was cooled to room temperature when the experiment finished.,temperature
5034,It proceeded at the reaction temperature of 260 °C and reaction time of 12 h. The reactor was cooled to room temperature when the experiment finished.,celcius
5035,2.3.3 One-pot low temperature condensation followed by high temperature hydrogenation experiment The bifunctional catalyst (2.4 g) and cyclopentanone (8 mL) were added to the high-pressure reactor.,temperature
5036,2.3.3 One-pot low temperature condensation followed by high temperature hydrogenation experiment The bifunctional catalyst (2.4 g) and cyclopentanone (8 mL) were added to the high-pressure reactor.,gram
5037,"(1) Conversion = Carbon moles of reagents consumed Carbon moles of reagents input × 100 % (2) Selectivity = Carbon moles of products Carbon moles of reagents consumed × 100 % (3) Yield = Conversion × Selectivity For all experiments carried out in this study an acclimatized anaerobic inoculum was used, which was obtained from an anaerobic acidogenic CSTR digester with a working volume of 750mL.",volume
5038,All experiments were conducted in a 1-L fermentor under controlled temperature and stirring rate conditions.,temperature
5039,The temperature was kept constant at 37°C (mesophilic conditions) via a thermocouple controller and stirring rate was set at 150rpm ensuring homogeneous mixing and facilitating rapid diffusion of the produced hydrogen by a geared motor drive unit installed on the top of the fermentor.,temperature
5040,and 0.25μm film) was used for determining the concentration of the individual VFAs and ethanol.,concentration
5041,(1) H = P exp - exp R m e p ( λ - t ) + 1 where H is the cumulative hydrogen production (mL); P is the maximum hydrogen production potential (mL); Rm is the maximum hydrogen production rate (mL/h); λ is the lag-phase duration (h); t is the time (h) and e is exp(1)=2.71828.,molarity
5042,"Both solutions were cooled to room temperature, followed by mixing in a 1:1 ratio until the development of a homogeneous suspension.",temperature
5043,"The film opacity was determined based on an earlier method (Yu et al., 2019) using the following equation: Opacity = − log Trans 600 K where Trans 600 is the transmittance of the films at 600 nm and K is the film thickness (mm) determined at five different locations using a digital electronic caliper.",kelvin
5044,All the plates were then placed in an incubator at 37 °C for 24 h and bacterial colonies on each plate were enumerated.,celcius
5045,The resulting solution was then stirred for 1 h at room temperature (27 ℃) before centrifuging at 5000 rpm for 1 min to remove bubbles.,temperature
5046,"Areca bananas with initial selection based on their uniform size, weight, and maturity were pre-treated by washing with distilled water and then blow-drying at room temperature (27 ℃).",temperature
5047,"Areca bananas with initial selection based on their uniform size, weight, and maturity were pre-treated by washing with distilled water and then blow-drying at room temperature (27 ℃).",weight
5048,These pre-cultures were grown overnight at 37 °C and 100 μL of each 5-mL culture were used to inoculate 50 mL of LB in a shake flask with the appropriate antibiotics.,celcius
5049,"These cultures were grown at 37 °C and 250 rpm for 8–10 h, and then were used to inoculate a 3-L anaerobic bioreactor.",celcius
5050,"The working volume, pH, temperature, and agitation were maintained at 1.8 L, 6.5, 37 °C, and 250 rpm, respectively.",temperature
5051,"The working volume, pH, temperature, and agitation were maintained at 1.8 L, 6.5, 37 °C, and 250 rpm, respectively.",celcius
5052,"The working volume, pH, temperature, and agitation were maintained at 1.8 L, 6.5, 37 °C, and 250 rpm, respectively.",volume
5053,"Enzyme activities assay The cells were cultured for 4 h in fermentation medium under anaerobic conditions and harvested by centrifugation (12,000× g and 4 °C for 10 min).",gram
5054,"Enzyme activities assay The cells were cultured for 4 h in fermentation medium under anaerobic conditions and harvested by centrifugation (12,000× g and 4 °C for 10 min).",celcius
5055,"Thereafter the catalysts were washed thoroughly with deionized water, filtered and dried at room temperature for 24h.",temperature
5056,"Before the catalytic tests, the samples were oxidized in air flow increasing temperature to 350°C with a ramp rate of 20°C/min.",temperature
5057,1 g of SiO2 microspheres were introduced into 10 mL HAuCl4·4H2O solution (5.1 × 10-3 M) and the suspension was stirred vigorously at 75 °C for 60 min.,Molality
5058,1 g of SiO2 microspheres were introduced into 10 mL HAuCl4·4H2O solution (5.1 × 10-3 M) and the suspension was stirred vigorously at 75 °C for 60 min.,gram
5059,1 g of SiO2 microspheres were introduced into 10 mL HAuCl4·4H2O solution (5.1 × 10-3 M) and the suspension was stirred vigorously at 75 °C for 60 min.,celcius
5060,"bipyridine, pyrazine, pyridazine, thiophene and dodecanethiol) for 2 h at room temperature and centrifuged at 10,000 rmp for 5 min, followed by drying and annealing in air at a temperature 0–5 °C higher than the corresponding boiling point for 1 h. The same method was used for the post-treatment of commercial AuNPs.",temperature
5061,"bipyridine, pyrazine, pyridazine, thiophene and dodecanethiol) for 2 h at room temperature and centrifuged at 10,000 rmp for 5 min, followed by drying and annealing in air at a temperature 0–5 °C higher than the corresponding boiling point for 1 h. The same method was used for the post-treatment of commercial AuNPs.",celcius
5062,"2.1.7 Synthesis of 11.2 nm AuNPs The synthetic method is similar to the synthesis of 8.3 nm AuNPs, except that raising the temperature to 140 °C rapidly after the adding of 100 mg of BTBC.",temperature
5063,"2.1.7 Synthesis of 11.2 nm AuNPs The synthetic method is similar to the synthesis of 8.3 nm AuNPs, except that raising the temperature to 140 °C rapidly after the adding of 100 mg of BTBC.",celcius
5064,The reactor was then heated to 650 °C at a heating rate of 5 °C min−1 under dry N2 flow.,celcius
5065,The reactor was then heated to 900 °C under dry N2 flow.,celcius
5066,The temperature was maintained for 2 h to rigidify the carbon frameworks formed in the β-zeolite.,temperature
5067,"After cooling the reactor, the resultant sample was treated repeatedly with a 0.3 M HF/0.15 M HCl solution to remove the zeolite framework.",Molality
5068,The reaction tube was heated to a desired temperature in a temperature-controlled silicone oil bath during the reaction.,temperature
5069,"First, a porcelain crucible containing silicon oil was heated up to 200 °C (∼50 °C higher than the citric acid melting point), which was accurately controlled using an internal thermostat.",celcius
5070,"Then, a 25 mL beaker containing 2 g of CA was put inside the porcelain crucible and the temperature was carefully controlled within the range of (198–203) °C.",temperature
5071,"Then, a 25 mL beaker containing 2 g of CA was put inside the porcelain crucible and the temperature was carefully controlled within the range of (198–203) °C.",gram
5072,"Then, a 25 mL beaker containing 2 g of CA was put inside the porcelain crucible and the temperature was carefully controlled within the range of (198–203) °C.",celcius
5073,"Before electrospinning, four aqueous solutions were prepared, as follows: i) PVA solution (1.2 g in 10 mL of DI water); ii) PVA solution (1.2 g in 9 mL of DI water); iii) PVA solution (1.2 g in 8 mL of DI water) and iv) PVA solution (1.2 g in 7 mL of DI water).",gram
5074,"In the course of all experiments, the temperature and humidity were carefully controlled in the ranges of 28–30 °C and 30–35%, respectively.",temperature
5075,"In the course of all experiments, the temperature and humidity were carefully controlled in the ranges of 28–30 °C and 30–35%, respectively.",celcius
5076,"In order to enrich the concentration of H2-producing microorganisms in the mixed culture, the acclimatization process was performed at 35 °C, pH 5 and under anaerobic conditions.",concentration
5077,"In order to enrich the concentration of H2-producing microorganisms in the mixed culture, the acclimatization process was performed at 35 °C, pH 5 and under anaerobic conditions.",celcius
5078,A Zorbax Carbohydrate column (4.6 × 150 mm 5-micron) was used to separate the components at 35 °C using a mobile phase composed of 75 vol.,celcius
5079,"In this study, nine different batch experiments were conducted by combining the pH and temperature conditions indicated above.",temperature
5080,The specific heat capacity and weight loss values of the composite films were determined using TA Instruments Differential Scanning Calorimeter (DSC) Q200 and Thermal Gravimetric Analysis (TGA) Q500 devices.,weight
5081,"To determine the effects of initial pH, temperature and NaCl concentration on biomass accumulation, a serial of batch fermention was performed.",temperature
5082,"To determine the effects of initial pH, temperature and NaCl concentration on biomass accumulation, a serial of batch fermention was performed.",concentration
5083,Hydrogen production experiments were carried out in 150ml serum bottles (working volume 100ml).,volume
5084,"To describe the effects of initial glucose concentration, initial pH and NaCl concentration on hydrogen production, the batches described previously were performed.",concentration
5085,"The batch operations were conducted at different NaCl concentration (0.4% and 3%), glucose concentration (5–60g/l), initial pH (5.0–10.0) and various carbon sources at 37°C with a fixed agitation rate.",concentration
5086,"(3) ; (3) % Water solubility = W i − W f / W i × 100 where Wi and Wf were the weight of the film before and after immersion in distilled water, respectively.",weight
5087,"A 400 mL bioreactor, with a working volume of 300 mL was used to conduct experiments for enrichment of hydrogen-producing bacteria.",volume
5088,A pH controller equipped with a peristaltic pump connected to 0.1 M NaOH solution was used to maintain a constant pH of 5.5 according to prior studies .,Molality
5089,PH and temperature were controlled as described in enrichment procedure.,temperature
5090,(1)) was used to describe the cumulative hydrogen production in response to initial substrate concentration in the batch study : (1) H ( t ) = P .,concentration
5091,"R m P λ - t + 1 } Where, H (t) is the cumulative hydrogen production at culture time t (h), P is hydrogen production potential (mL), R m is the maximum hydrogen production rate (mL/h), λ is lag phase time (h) and e is the Euler constant (2.718282).",molarity
5092,"In this study, cumulative hydrogen production was obtained first from the hydrogen production in batch experiments; then the parameters (P, R m, λ) of Eq.",molarity
5093,"(4) R = k × ( 1 - S S m ) n × S S + K S × 1 - S / S m m Where R is hydrogen production rate (mL/h), k is hydrogen production rate constant (mL/h), S is COD concentration of substrate (g/L), S m is the maximum COD concentration of substrate (g/L), which is tolerable for hydrogen-producing bacteria, K s is the half saturation constant (g/L), K i is the inhibition constant (g/L), n is exponent constant and m is another exponent constant.",concentration
5094,"(4) R = k × ( 1 - S S m ) n × S S + K S × 1 - S / S m m Where R is hydrogen production rate (mL/h), k is hydrogen production rate constant (mL/h), S is COD concentration of substrate (g/L), S m is the maximum COD concentration of substrate (g/L), which is tolerable for hydrogen-producing bacteria, K s is the half saturation constant (g/L), K i is the inhibition constant (g/L), n is exponent constant and m is another exponent constant.",molarity
5095,"(4) R = k × ( 1 - S S m ) n × S S + K S × 1 - S / S m m Where R is hydrogen production rate (mL/h), k is hydrogen production rate constant (mL/h), S is COD concentration of substrate (g/L), S m is the maximum COD concentration of substrate (g/L), which is tolerable for hydrogen-producing bacteria, K s is the half saturation constant (g/L), K i is the inhibition constant (g/L), n is exponent constant and m is another exponent constant.",kelvin
5096,Photobioreactors (1-L) made up of borosilicate glass with a working volume of 0.9L were used for continuous hydrogen production at 31°C.,volume
5097,Different concentrations of exogenous glucose added to the culture were earlier tried in batch mode and 20mM concentration gave the best results for hydrogen production (detailed results not included here).,concentration
5098,All the experiments were conducted at ambient temperature (28±3°C).,temperature
5099,"With the movement of adsorbate, adsorption zone also starts moving and after some time the effluent concentration starts rising, known as breakthrough point.",concentration
5100,The time required to reach a specific break through concentration is referred as breakthrough time (t b).,concentration
5101,In the present study breakthrough time has been taken as the time up to which 100% removal of initial concentration of the two dyes and metals from simulated wastewater was achieved.,concentration
5102,"The integrity of DNA and RNA samples was analyzed by electrophoresis using 0.8% (wt/vol) agarose, and the concentration and purity were determined by a Beckman DU 800 (Beckman, USA) at 260 nm and 280 nm.",concentration
5103,"Amplification and detection were performed in an ABI PRISM 7500 Sequence Detection System (Applied Biosystems), using the following program: initial denaturation 30 s at 95 °C, followed by 40 cycles of 5 s at 95 °C, 34 s at 60 °C for fluorescence signal collection, then a dissociation stage of 15 s at 95 °C, 1 min at 60 °C, 15 s at 95 °C and 1 min at 60 °C.",celcius
5104,"The reduction temperature was linearly increased from room temperature to 260 °C with a heating rate of 1.0 °C min−1 and then maintained at 260 °C for 12 h. The samples were subsequently cooled with a nitrogen flow for 6 h. Powder X-ray diffraction (XRD) patterns were recorded on a Rigaku Multiplex instrument using Cu-Ka radiation (l = 0.15406 nm), operated at 40 kV and 40 mA (1.6 kW).",temperature
5105,"The reduction temperature was linearly increased from room temperature to 260 °C with a heating rate of 1.0 °C min−1 and then maintained at 260 °C for 12 h. The samples were subsequently cooled with a nitrogen flow for 6 h. Powder X-ray diffraction (XRD) patterns were recorded on a Rigaku Multiplex instrument using Cu-Ka radiation (l = 0.15406 nm), operated at 40 kV and 40 mA (1.6 kW).",celcius
