,sentence,catalyst
1210,"To verify the hydrogenation effect and regeneration performance of the prepared Rh/ZrO2 catalyst and its possible deactivation mechanism, a typical model bio-oil compound, i.e., guaiacol (22 mL, 5 wt% dissolved in n-dodecane solvent), was used as feedstock.",Rh
1211,Regeneration treatment of the deactivated Rh/ZrO2 catalyst was performed as follows: 1) cleaning the deactivated Rh/ZrO2 catalyst with ethanol solvent; 2) ultrasonic treatment in acetone solvent for 60 min to remove carbon deposit; 3) calcination in an air atmosphere at 700 °C for 120 min; and 4) reduction in a hydrogen atmosphere at 350 °C for 60 min.,ZrO2
1212,Regeneration treatment of the deactivated Rh/ZrO2 catalyst was performed as follows: 1) cleaning the deactivated Rh/ZrO2 catalyst with ethanol solvent; 2) ultrasonic treatment in acetone solvent for 60 min to remove carbon deposit; 3) calcination in an air atmosphere at 700 °C for 120 min; and 4) reduction in a hydrogen atmosphere at 350 °C for 60 min.,ZrO2
1213,Regeneration treatment of the deactivated Rh/ZrO2 catalyst was performed as follows: 1) cleaning the deactivated Rh/ZrO2 catalyst with ethanol solvent; 2) ultrasonic treatment in acetone solvent for 60 min to remove carbon deposit; 3) calcination in an air atmosphere at 700 °C for 120 min; and 4) reduction in a hydrogen atmosphere at 350 °C for 60 min.,Rh
1214,Regeneration treatment of the deactivated Rh/ZrO2 catalyst was performed as follows: 1) cleaning the deactivated Rh/ZrO2 catalyst with ethanol solvent; 2) ultrasonic treatment in acetone solvent for 60 min to remove carbon deposit; 3) calcination in an air atmosphere at 700 °C for 120 min; and 4) reduction in a hydrogen atmosphere at 350 °C for 60 min.,Rh
1215,Catalytic hydrotreatment experiments of bio-oil were carried out using the prepared Rh/ZrO2 and the commercial Pd/Al2O3 and Rh/Al2O3 catalysts in the lab-scale batch hydrogenation reactor.,Al2O3
1216,Catalytic hydrotreatment experiments of bio-oil were carried out using the prepared Rh/ZrO2 and the commercial Pd/Al2O3 and Rh/Al2O3 catalysts in the lab-scale batch hydrogenation reactor.,ZrO2
1217,Catalytic hydrotreatment experiments of bio-oil were carried out using the prepared Rh/ZrO2 and the commercial Pd/Al2O3 and Rh/Al2O3 catalysts in the lab-scale batch hydrogenation reactor.,Al2O3
1218,Catalytic hydrotreatment experiments of bio-oil were carried out using the prepared Rh/ZrO2 and the commercial Pd/Al2O3 and Rh/Al2O3 catalysts in the lab-scale batch hydrogenation reactor.,Rh
1219,Catalytic hydrotreatment experiments of bio-oil were carried out using the prepared Rh/ZrO2 and the commercial Pd/Al2O3 and Rh/Al2O3 catalysts in the lab-scale batch hydrogenation reactor.,Rh
1220,Catalytic hydrotreatment experiments of bio-oil were carried out using the prepared Rh/ZrO2 and the commercial Pd/Al2O3 and Rh/Al2O3 catalysts in the lab-scale batch hydrogenation reactor.,Pd
1221,"Photoelectrochemical (PEC) tests were conducted in 0.5 M Na2SO4 electrolyte under the irradiation of a 300 W xenon light source in a standard three-electrode system on a CHI 660E electrochemical workstation in which MNF catalyst colloid coated onto a fluorine tin oxide (FTO) glass served as the working electrode, a Pt plate as the counter electrode, and a saturated calomel electrode (SCE) as the reference electrode.",Pt
1222,"Photoelectrochemical (PEC) tests were conducted in 0.5 M Na2SO4 electrolyte under the irradiation of a 300 W xenon light source in a standard three-electrode system on a CHI 660E electrochemical workstation in which MNF catalyst colloid coated onto a fluorine tin oxide (FTO) glass served as the working electrode, a Pt plate as the counter electrode, and a saturated calomel electrode (SCE) as the reference electrode.",Na2SO4
1223,"Typically, for 10% Ru/Nb2O5 catalyst, 0.228 g of the metal salt RuCl3·xH2O was put into the beaker and stirred for 15 min with the addition of appropriate amount of deionized water.",Nb2O5
1224,"Typically, for 10% Ru/Nb2O5 catalyst, 0.228 g of the metal salt RuCl3·xH2O was put into the beaker and stirred for 15 min with the addition of appropriate amount of deionized water.",Ru
1225,"2.2.1 Atomic absorption spectroscopy (AAS) The compositions of Pt and Sn in the Pt-NP and the SnPt-NP catalysts were determined by Atomic Absorption Spectroscopy (HITACHI, Z-2000).",Pt
1226,"2.2.1 Atomic absorption spectroscopy (AAS) The compositions of Pt and Sn in the Pt-NP and the SnPt-NP catalysts were determined by Atomic Absorption Spectroscopy (HITACHI, Z-2000).",Sn
1227,"As for the hydrogenation of crotonaldehyde over the Sn-Pt/SiO2 catalysts prepared by the co-impregnation method, the reaction was carried out at 373 K under 2.0 MPa (gauge) of H2 for 1 h with 25 mg of catalysts.",SiO2
1228,"As for the hydrogenation of crotonaldehyde over the Sn-Pt/SiO2 catalysts prepared by the co-impregnation method, the reaction was carried out at 373 K under 2.0 MPa (gauge) of H2 for 1 h with 25 mg of catalysts.",Pt
1229,"As for the hydrogenation of crotonaldehyde over the Sn-Pt/SiO2 catalysts prepared by the co-impregnation method, the reaction was carried out at 373 K under 2.0 MPa (gauge) of H2 for 1 h with 25 mg of catalysts.",crotonaldehyde
1230,"As for the hydrogenation of crotonaldehyde over the Sn-Pt/SiO2 catalysts prepared by the co-impregnation method, the reaction was carried out at 373 K under 2.0 MPa (gauge) of H2 for 1 h with 25 mg of catalysts.",Sn
1231,"The H2-reduction treatment is usually recognized as a universal method for creating oxygen vacancies in many photocatalysts (e.g., TiO2, WO3, ZnO, BiVO4, and BiPO4) .",ZnO
1232,"The H2-reduction treatment is usually recognized as a universal method for creating oxygen vacancies in many photocatalysts (e.g., TiO2, WO3, ZnO, BiVO4, and BiPO4) .",BiPO4
1233,"The H2-reduction treatment is usually recognized as a universal method for creating oxygen vacancies in many photocatalysts (e.g., TiO2, WO3, ZnO, BiVO4, and BiPO4) .",WO3
1234,"The H2-reduction treatment is usually recognized as a universal method for creating oxygen vacancies in many photocatalysts (e.g., TiO2, WO3, ZnO, BiVO4, and BiPO4) .",BiVO4
1235,"The H2-reduction treatment is usually recognized as a universal method for creating oxygen vacancies in many photocatalysts (e.g., TiO2, WO3, ZnO, BiVO4, and BiPO4) .",TiO2
1236,In-house made 50wt.% PtRu/C and 50wt.% Ru/C catalysts for the cathodic operation were prepared by the sulfite complex method .,Ru
1237,The synthesized Pt/CeO2 catalysts were characterized extensively to full understand the structure-property relationships of the catalytic system.,Pt
1238,The synthesized Pt/CeO2 catalysts were characterized extensively to full understand the structure-property relationships of the catalytic system.,CeO2
1239,"For preparation of comparative catalysts, method is the same as that of CdS/Co@NC except replacing the Co@NC by the same amount of NC and commercial cobalt powder, marked as the CdS-NC and CdS/Co-1.",Co
1240,"For preparation of comparative catalysts, method is the same as that of CdS/Co@NC except replacing the Co@NC by the same amount of NC and commercial cobalt powder, marked as the CdS-NC and CdS/Co-1.",Co
1241,"For preparation of comparative catalysts, method is the same as that of CdS/Co@NC except replacing the Co@NC by the same amount of NC and commercial cobalt powder, marked as the CdS-NC and CdS/Co-1.",CdS
1242,"For preparation of comparative catalysts, method is the same as that of CdS/Co@NC except replacing the Co@NC by the same amount of NC and commercial cobalt powder, marked as the CdS-NC and CdS/Co-1.",cobalt
1243,"For preparation of comparative catalysts, method is the same as that of CdS/Co@NC except replacing the Co@NC by the same amount of NC and commercial cobalt powder, marked as the CdS-NC and CdS/Co-1.",CdS
1244,"As for the C3N4 and Eosin Y (EY) as light harvesting materials, 2.0 mg sample is dispersed in 10 vol% TEOA aqueous solution and other operations were the same as that of CdS-based photocatalyst.",C3N4
1245,"As for the C3N4 and Eosin Y (EY) as light harvesting materials, 2.0 mg sample is dispersed in 10 vol% TEOA aqueous solution and other operations were the same as that of CdS-based photocatalyst.",CdS
1246,"For the apparent quantum efficiency (AQY) calculation, the hydrogen evolution rate was selected based on 2.5 h photocatalytic experiment and AQY was obtained by the following equation: AQY= 2 * number of evolved hydrogen moleculars number of incident photos × 100 % The turnover frequencies (TOF) of photocatalysts based on the amount of CdS were calculated using the following equation: T O F = moles of produced hydrogen moles of CdS in photocatalyst * reaction time (h) The electrochemical and photoelectrochemical measurements of the samples were performed on a CHI760D electrochemical analyzer, which used a standard three electrode system in 0.5 M Na2SO4 aqueous solution.",CdS
1247,"For the apparent quantum efficiency (AQY) calculation, the hydrogen evolution rate was selected based on 2.5 h photocatalytic experiment and AQY was obtained by the following equation: AQY= 2 * number of evolved hydrogen moleculars number of incident photos × 100 % The turnover frequencies (TOF) of photocatalysts based on the amount of CdS were calculated using the following equation: T O F = moles of produced hydrogen moles of CdS in photocatalyst * reaction time (h) The electrochemical and photoelectrochemical measurements of the samples were performed on a CHI760D electrochemical analyzer, which used a standard three electrode system in 0.5 M Na2SO4 aqueous solution.",CdS
1248,"For the apparent quantum efficiency (AQY) calculation, the hydrogen evolution rate was selected based on 2.5 h photocatalytic experiment and AQY was obtained by the following equation: AQY= 2 * number of evolved hydrogen moleculars number of incident photos × 100 % The turnover frequencies (TOF) of photocatalysts based on the amount of CdS were calculated using the following equation: T O F = moles of produced hydrogen moles of CdS in photocatalyst * reaction time (h) The electrochemical and photoelectrochemical measurements of the samples were performed on a CHI760D electrochemical analyzer, which used a standard three electrode system in 0.5 M Na2SO4 aqueous solution.",Na2SO4
1249,"X-ray diffraction (Rigaku 19 D/Max-2500/PC instrument, Cu Ka radiation) in the 2θ range from 10° to 80° was performed for the crystalline properties of S-KOH, S-KOH-S, and S-KOH-S-P catalysts.",Cu
1250,Transmissionelectronmicroscopy(TEM)analysiswas performed usingJEOL The water displacement method was used for hydrogen production induced by the S and P doped metal-free carbon-based catalyst resulting from NaBH4 methanolysis.,NaBH4
1251,The conversion of furfural (mol%) and products yield (mol%) were calculated according to the following formula: (1) Conversion = mole o f r e a c t e d s u b s t r a t e total m o l e o f s u b s t r a t e f e e d ∗ 100 % (2) Yield o f C P L = mole o f C P L total m o l e o f s u b s t r a t e f e e d ∗ 100 % (3) Yield o f o t h e r p r o d u c t s = mole o f c o r r e s p o n d i n g p r o d u c t s total m o l e o f s u b s t r a t e f e e d ∗ 100 % 2.3.1 Synthesize of Ni-MOF-Mo catalysts NiMo/MOF was synthesized through a solvothermal strategy.,NiMo
1252,2.3.2 Synthesize of Ni/C-Mo catalysts The resulting powder was isolated and heated at 500 °C for 3 h under N2 flow.,Ni
1253,The as-prepared Ni/C-Mo catalysts were investigated for the reaction of furfural (FFA) to cyclopentanol (CPL) in aqueous medium.,Ni
1254,Signal metal-based catalysts (Ni/C and Mo/C) was improved this catalytic reaction a little bit.,Mo
1255,Signal metal-based catalysts (Ni/C and Mo/C) was improved this catalytic reaction a little bit.,Ni
1256,"NiMo bimetallic catalysts achieved a significant improvement in the hydrogenation of FFA, probably due to the synergistic effect of Ni with Mo.",Mo
1257,"NiMo bimetallic catalysts achieved a significant improvement in the hydrogenation of FFA, probably due to the synergistic effect of Ni with Mo.",NiMo
1258,"NiMo bimetallic catalysts achieved a significant improvement in the hydrogenation of FFA, probably due to the synergistic effect of Ni with Mo.",Ni
1259,100% conversion of FFA was achieved over Ni/C-Mo catalyst in aqueous medium.,Ni
1260,"Thus, we selected Ni/C-Mo-BTC as an optimal catalyst in subsequent experiments.",Ni
1261,for the hydrogenation of FFA over a NiMo/CNT catalyst .,NiMo
1262,It was surprising to find that Ni/C-Mo0.4 catalyst was the most suitable catalyst to yield 94% CPL and the CPL's yield ranking was Ni/C-Mo0.4 > other Ni/C-M catalysts (Table 1).,Ni
1263,It was surprising to find that Ni/C-Mo0.4 catalyst was the most suitable catalyst to yield 94% CPL and the CPL's yield ranking was Ni/C-Mo0.4 > other Ni/C-M catalysts (Table 1).,Ni
1264,It was surprising to find that Ni/C-Mo0.4 catalyst was the most suitable catalyst to yield 94% CPL and the CPL's yield ranking was Ni/C-Mo0.4 > other Ni/C-M catalysts (Table 1).,Ni
1265,"The effect of catalyst concentration, H2 pressure, reaction time and reaction temperature on the conversion of FFA to yield COL was investigated in aqueous medium over Ni/C-Mo-BTC catalyst, and the results could be seen in the following Fig.",Ni
1266,The catalyst amount influence on product distribution over Ni/C-Mo0.4 catalyst was studied and the results are showed in Fig.,Ni
1267,The reaction time and temperature influence for the generation of CPL over the Ni/C-Mo0.4 catalyst was investigated and the results are shown in Fig.,Ni
1268,The influence of temperature was studied in the range of 120 to 160 °C with an interval of 20 °C using the Ni/C-Mo0.4 catalyst and the results for these results were showed in Fig.,Ni
1269,"Through the screening of catalyst amount, reaction time, reaction temperature, H2 pressure and solvent of FFA hydrogenation with Ni/C-Mo0.4 catalyst, it could easily find the optimal reaction condition: 10 mg Ni/C-Mo0.4 catalyst, 2 h, 140 °C, 2 MPa H2, 10 mL water as solvent.rder to continue the exploration of the Ni/C-Mo0.4 catalytic activity, four FFA derivates were chosen as model compounds under the optimal conditions.",Ni
1270,"Through the screening of catalyst amount, reaction time, reaction temperature, H2 pressure and solvent of FFA hydrogenation with Ni/C-Mo0.4 catalyst, it could easily find the optimal reaction condition: 10 mg Ni/C-Mo0.4 catalyst, 2 h, 140 °C, 2 MPa H2, 10 mL water as solvent.rder to continue the exploration of the Ni/C-Mo0.4 catalytic activity, four FFA derivates were chosen as model compounds under the optimal conditions.",Ni
1271,"Through the screening of catalyst amount, reaction time, reaction temperature, H2 pressure and solvent of FFA hydrogenation with Ni/C-Mo0.4 catalyst, it could easily find the optimal reaction condition: 10 mg Ni/C-Mo0.4 catalyst, 2 h, 140 °C, 2 MPa H2, 10 mL water as solvent.rder to continue the exploration of the Ni/C-Mo0.4 catalytic activity, four FFA derivates were chosen as model compounds under the optimal conditions.",Ni
1272,"In the end, the recyclability of Ni/C-Mo catalyst was investigated.",Ni
1273,"After a simple process (simple washing with iPrOH and dried under 100 °C), Ni/C-Mo catalyst could be carried out in the next test directly.",Ni
1274,"The resulting photocatalyst was calcined at 673 K (2 K min−1) for 2 h. This treatment eliminated the dodecanethiol shells and assured a strong contact between Au and the TiO2 support, as reported previously , a coating of 0.5 mg cm-2 was selected (7.4 mg).",dodecanethiol
1275,"The resulting photocatalyst was calcined at 673 K (2 K min−1) for 2 h. This treatment eliminated the dodecanethiol shells and assured a strong contact between Au and the TiO2 support, as reported previously , a coating of 0.5 mg cm-2 was selected (7.4 mg).",TiO2
1276,"The resulting photocatalyst was calcined at 673 K (2 K min−1) for 2 h. This treatment eliminated the dodecanethiol shells and assured a strong contact between Au and the TiO2 support, as reported previously , a coating of 0.5 mg cm-2 was selected (7.4 mg).",Au
1277,"The evaluation parameters were the H2 production rate (μmol min−1), the photoactivity referred to the amount of Au/TiO2 photocatalyst (μmol min-1 g−1), the apparent quantum efficiency (AQE), and the light-to-chemical energy conversion efficiency.",TiO2
1278,"The evaluation parameters were the H2 production rate (μmol min−1), the photoactivity referred to the amount of Au/TiO2 photocatalyst (μmol min-1 g−1), the apparent quantum efficiency (AQE), and the light-to-chemical energy conversion efficiency.",Au
1279,2.1.2 Nano-Pd/CeO2 preparation The CeO2 supported nano-Pd particles (nano-Pd/CeO2) catalyst was also prepared as the control catalyst.,CeO2
1280,2.1.2 Nano-Pd/CeO2 preparation The CeO2 supported nano-Pd particles (nano-Pd/CeO2) catalyst was also prepared as the control catalyst.,CeO2
1281,2.1.2 Nano-Pd/CeO2 preparation The CeO2 supported nano-Pd particles (nano-Pd/CeO2) catalyst was also prepared as the control catalyst.,CeO2
1282,"The energy calibration of the catalysts was conducted through a standard Pd foil, which as a reference was simultaneously measured.",Pd
1283,"The prepared sputtered Pd mesh-like structure was used as anode, while standard Pt supported on carbon (20 wt % Pt/C- Alfa Aesar) was adopted as cathode catalyst in the electrochemical reforming unit.",Pd
1284,"The prepared sputtered Pd mesh-like structure was used as anode, while standard Pt supported on carbon (20 wt % Pt/C- Alfa Aesar) was adopted as cathode catalyst in the electrochemical reforming unit.",Pt
1285,"The prepared sputtered Pd mesh-like structure was used as anode, while standard Pt supported on carbon (20 wt % Pt/C- Alfa Aesar) was adopted as cathode catalyst in the electrochemical reforming unit.",Pt
1286,"In order to optimize the selective oxidation of various alcohols with Fe3O4@tannic acid-Cu as heterogeneous nanocatalyst, oxidation of 4-Chlorobenzyl alcohol under different reaction conditions applied.",Fe3O4
1287,The best amount of nanocatalyst to catalyzed the oxidation with good to excellent yields is about 8 mg of Fe3O4@tannic acid-Cu.,Fe3O4
1288,"As can be seen in the table data, aryl alcohols with both electron-withdrawing groups and electron-donating groups oxidized well in the presence of Fe3O4@tannic acid-Cu as a magnetically green nanocatalyst.",Fe3O4
1289,"CO chemisorption at 307 K (Micromeritics, ASAP, 2020C Analyzer) was used to determine the platinum and ruthenium surface site densities of the fresh catalysts.",platinum
1290,"CO chemisorption at 307 K (Micromeritics, ASAP, 2020C Analyzer) was used to determine the platinum and ruthenium surface site densities of the fresh catalysts.",ruthenium
1291,"After cooling to 100 °C, the catalyst MSA and DBTL were added into the flask, and the reaction allowed to continue for 2 h. Additionally, LPES was synthesized by the same vacuum melting method using decanedioic acid, NPG, EG and lignin as the raw materials.",DBTL
1292,A Ni–Co/Al–Mg catalyst was selected for the present work.,Co
1293,A Ni–Co/Al–Mg catalyst was selected for the present work.,Mg
1294,A Ni–Co/Al–Mg catalyst was selected for the present work.,Ni
1295,A Ni–Co/Al–Mg catalyst was selected for the present work.,Al
1296,"Before each experiment the catalyst was in-situ reduced using a mixture of H2 and N2 (1:10 v/v) at 650 °C for 1 h. In both installations, H2, CO, CO2, CH4, N2, C2H4, C2H6 and C2H2 were measured online during each experiment.",CH4
1297,"To validate the thermodynamics calculation results, catalytic CO2 hydrogenation to CO and CH4 over 10wt% Cu/CeO2 and 10wt% Ni/CeO2 catalysts were carried out.",CeO2
1298,"To validate the thermodynamics calculation results, catalytic CO2 hydrogenation to CO and CH4 over 10wt% Cu/CeO2 and 10wt% Ni/CeO2 catalysts were carried out.",CH4
1299,"To validate the thermodynamics calculation results, catalytic CO2 hydrogenation to CO and CH4 over 10wt% Cu/CeO2 and 10wt% Ni/CeO2 catalysts were carried out.",CeO2
1300,"To validate the thermodynamics calculation results, catalytic CO2 hydrogenation to CO and CH4 over 10wt% Cu/CeO2 and 10wt% Ni/CeO2 catalysts were carried out.",Ni
1301,"To validate the thermodynamics calculation results, catalytic CO2 hydrogenation to CO and CH4 over 10wt% Cu/CeO2 and 10wt% Ni/CeO2 catalysts were carried out.",Cu
1302,It was reported that Cu is an effective catalyst in water–gas shift reaction (CO+H2O→CO2 +H2) .,Cu
1303,50 mg catalyst was loaded into a reactor tube and held in place by quartz wool for each test.,quartz
1304,20 mg catalyst was loaded into a reactor tube and held in place by quartz wool for each test.,quartz
1305,"The photocatalyst (Ag/TiO2 thin-film sample) was inserted into the flask carefully, and immersed just under the water/methanol solution surface.",Ag
1306,"The photocatalyst (Ag/TiO2 thin-film sample) was inserted into the flask carefully, and immersed just under the water/methanol solution surface.",TiO2
1307,"As the main objective is to magnetically recover and reuse the gCN-T photocatalyst, the response of the Fe3O4/gCN-T composites was primarily checked using a common magnet (see supplementary information, Figure SI-1).",Fe3O4
1308,"For these samples, the gold nominal loading was fixed at 0.5wt.%, the optimal gold loading previously obtained for the production of hydrogen using Au/TiO2 photocatalysts .",TiO2
1309,"For these samples, the gold nominal loading was fixed at 0.5wt.%, the optimal gold loading previously obtained for the production of hydrogen using Au/TiO2 photocatalysts .",Au
1310,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1311,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Cu2O
1312,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Ag2O
1313,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1314,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Au
1315,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1316,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1317,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Au
1318,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Au
1319,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",NiO
1320,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",NiO
1321,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1322,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Cu2O
1323,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1324,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Ag2O
1325,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",TiO2
1326,"The photocatalytic activity of the monometallic Au/TiO2, Ag2O/TiO2, Cu2O/TiO2, and NiO/TiO2 as well as the Au–Ag2O/TiO2, Au–Cu2O/TiO2, and Au–NiO/TiO2 catalysts were studied in a homemade photoreactor containing 100mg of catalyst in a volume of 200mL of a water–methanol mixture (1:1M ratio).",Au
1327,This reduced Ni works as a catalyst for steam methane reforming reaction.,Ni
1328,"Various reaction conditions were tested, such as catalyst composition (percentage of Ru, Cs, and carbon), amount of catalyst, flow rate of ammonia, and reactor temperature.",Ru
1329,"Various reaction conditions were tested, such as catalyst composition (percentage of Ru, Cs, and carbon), amount of catalyst, flow rate of ammonia, and reactor temperature.",Cs
1330,"This step consists of an exothermic reaction over a metal catalyst (Pt/Al2O3) with hydrogen consumption in the process, so a recycle and purge details were included in the reactor design to ensure adequate response control.",Al2O3
1331,"This step consists of an exothermic reaction over a metal catalyst (Pt/Al2O3) with hydrogen consumption in the process, so a recycle and purge details were included in the reactor design to ensure adequate response control.",Pt
1332,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",Co
1333,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",Co
1334,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",Co
1335,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",MnOx
1336,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",MnOx
1337,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",MnOx
1338,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",MnOx
1339,"The Co/MnOx@C-400, namely, is Co/MnOx@quasi-MOF-74, while Co/MnOx@C-500, 600, 700 and 800 are the Co/MnOx@C catalysts.",Co
1340,② Controlled deligandation of CoMn-MOF-74 precursor by the controlled thermal treatment strategy to form a Co/MnOx@quasi-MOF-74 core-shell catalyst.,Co
1341,② Controlled deligandation of CoMn-MOF-74 precursor by the controlled thermal treatment strategy to form a Co/MnOx@quasi-MOF-74 core-shell catalyst.,MnOx
1342,③ Direct pyrolysis of CoMn-MOF-74 precursor at higher temperature (>500 °C) to form Co/MnOx@C core-shell catalysts.,Co
1343,③ Direct pyrolysis of CoMn-MOF-74 precursor at higher temperature (>500 °C) to form Co/MnOx@C core-shell catalysts.,MnOx
1344,"To fabricate CdS photocatalyst combined with WC, we tried a one-pot synthesis in isopropyl alcohol through a precipitation method, the prepared powder was hydrothermally treated in an autoclave at 150°C for 24h.",CdS
1345,"For in situ photodeposition of Pt onto CdS, as-synthesized CdS photocatalyst was added in aqueous solution containing a required amount (2.0wt%) of H2PtCl6.",Pt
1346,"For in situ photodeposition of Pt onto CdS, as-synthesized CdS photocatalyst was added in aqueous solution containing a required amount (2.0wt%) of H2PtCl6.",H2PtCl6
