Title,Pub_name,DOI,Link
Commercial application scenario using patent analysis: Fermentative hydrogen production from biomass,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2014.05.100,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2014.05.100?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Enhanced activity for electrochemical hydrogenation and hydrogenolysis of furfural to biofuel using electrodeposited Cu catalysts,Catalysis Today,10.1016/j.cattod.2018.09.011,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2018.09.011?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The novel excited state intramolecular proton transfer broken by intermolecular hydrogen bonds in HOF system,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2019.04.053,https://api.elsevier.com/content/article/doi/10.1016/j.saa.2019.04.053?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Magnetron sputter deposited NiCu alloy catalysts for production of hydrogen through electrolysis in alkaline water,Materials Science for Energy Technologies,10.1016/j.mset.2018.06.010,https://api.elsevier.com/content/article/doi/10.1016/j.mset.2018.06.010?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Impacts of nano-metal oxides on hydrogen production in anaerobic digestion of palm oil mill effluent – A novel approach,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.12.108,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2017.12.108?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Theoretical investigation on atmospheric reaction mechanism, kinetics and SAR estimations of four-carbon ketones and alcohols",Atmospheric Environment,10.1016/j.atmosenv.2021.118915,https://api.elsevier.com/content/article/doi/10.1016/j.atmosenv.2021.118915?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Cobalt–copper based catalysts for higher terminal alcohols synthesis via Fischer–Tropsch reaction,Journal of Energy Chemistry,10.1016/j.jechem.2016.09.014,https://api.elsevier.com/content/article/doi/10.1016/j.jechem.2016.09.014?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective hydrogenation of furfural to furfuryl alcohol over catalysts prepared via sonochemistry,Ultrasonics Sonochemistry,10.1016/j.ultsonch.2006.03.002,https://api.elsevier.com/content/article/doi/10.1016/j.ultsonch.2006.03.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective hydrogenation of methyl oleate into unsaturated alcohols: Relationships between catalytic properties and composition of cobalt–tin catalysts,Catalysis Today,10.1016/S0920-5861(00)00448-X,https://api.elsevier.com/content/article/doi/10.1016/S0920-5861(00)00448-X?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Coproduction of hydrogen and lactic acid from glucose photocatalysis on band-engineered Zn<ce:inf loc=post>1-x</ce:inf>Cd<ce:inf loc=post>x</ce:inf>S homojunction,iScience,10.1016/j.isci.2021.102109,https://api.elsevier.com/content/article/doi/10.1016/j.isci.2021.102109?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Facile synthesis of kermesinus BiOI with oxygen vacancy for efficient hydrogen generation,Chemical Engineering Journal,10.1016/j.cej.2020.127607,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2020.127607?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Enhanced butanol production in <ce:italic>Clostridium acetobutylicum</ce:italic> by manipulating metabolic pathway genes,Process Biochemistry,10.1016/j.procbio.2022.01.021,https://api.elsevier.com/content/article/doi/10.1016/j.procbio.2022.01.021?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Chapter 5: Fuel and hydrogen treatment and production by membranes,Current Trends and Future Developments on (Bio-) Membranes,10.1016/B978-0-12-816778-6.00005-9,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-816778-6.00005-9?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Methanol to hydrogen conversion on cobalt–ceria catalysts prepared by magnetron sputtering,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2021.02.167,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2021.02.167?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Nitrogen vacancy enhanced photocatalytic selective oxidation of benzyl alcohol in g-C<ce:inf loc=post>3</ce:inf>N<ce:inf loc=post>4</ce:inf>,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2021.09.052,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2021.09.052?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Fermentative hydrogen production from mixed and pure microalgae biomass: Key challenges and possible opportunities,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.07.050,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2017.07.050?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synergistic effects of (3-mercaptopropyl)trimethoxysilane and citric acid on the improvement of water vapor barrier performance of polyvinyl alcohol/xylan packaging films,Industrial Crops and Products,10.1016/j.indcrop.2021.113822,https://api.elsevier.com/content/article/doi/10.1016/j.indcrop.2021.113822?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Carbons derived from alcohol-treated bacterial cellulose with optimal porosity for Li–O<ce:inf loc=post>2</ce:inf> batteries,Renewable Energy,10.1016/j.renene.2021.05.059,https://api.elsevier.com/content/article/doi/10.1016/j.renene.2021.05.059?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Highly selective hydrogenation of α, β-unsaturated carbonyl compounds over supported Co nanoparticles",Catalysis Communications,10.1016/j.catcom.2018.03.017,https://api.elsevier.com/content/article/doi/10.1016/j.catcom.2018.03.017?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effect of substrate concentration on fermentative hydrogen production from sweet sorghum extract,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2011.01.077,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2011.01.077?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Improvement of hydrogen production from glucose by ferrous iron and biochar,Bioresource Technology,10.1016/j.biortech.2017.08.198,https://api.elsevier.com/content/article/doi/10.1016/j.biortech.2017.08.198?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Production of renewable gasoline from aqueous phase hydrogenation of lignin pyrolysis oil,Fuel,10.1016/j.fuel.2012.08.039,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2012.08.039?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Modulation of Lewis acidic-basic sites for efficient photocatalytic H<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>2</ce:inf> production over potassium intercalated tri-s-triazine materials,Applied Catalysis B: Environmental,10.1016/j.apcatb.2020.119225,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2020.119225?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Radiation-induced debromonation of 1,2-dibromotetrafluoroethane (Halon2402) in alcohols followed by Br<ce:inf loc=post>2</ce:inf><ce:sup loc=post>•−</ce:sup> formation – A pulse radiolysis study",Radiation Physics and Chemistry,10.1016/j.radphyschem.2018.12.015,https://api.elsevier.com/content/article/doi/10.1016/j.radphyschem.2018.12.015?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Kilogram-scale production of highly active chalcogenide photocatalyst for solar hydrogen generation,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2018.01.074,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2018.01.074?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Prof. S. Shcheklein – One of the founders of the scientific and methodical school of energy saving, increasing energy efficiency and hydrogen energy in the Urals",International Journal of Hydrogen Energy,10.1016/j.ijhydene.2022.01.205,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2022.01.205?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The degradation of coniferyl alcohol and the complementary production of chlorogenic acids in the growth culture of <ce:italic>Streptomyces albogriseolus</ce:italic> KF977548 isolated from decaying wood residues,Process Biochemistry,10.1016/j.procbio.2016.10.015,https://api.elsevier.com/content/article/doi/10.1016/j.procbio.2016.10.015?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Carbon nanotube-supported bimetallic Cu-Fe catalysts for syngas conversion to higher alcohols,Molecular Catalysis,10.1016/j.mcat.2019.110610,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2019.110610?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Kinetic study of CO<ce:inf loc=post>2</ce:inf> hydrogenation on Ru/ YSZ catalyst using a monolithic electropromoted reactor (MEPR),Chemical Engineering Journal,10.1016/j.cej.2021.132967,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2021.132967?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen production from water photosplitting using Cu/TiO<ce:inf loc=post>2</ce:inf> nanoparticles: Effect of hydrolysis rate and reaction medium,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.03.019,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2015.03.019?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Alcohols selective oxidation with H<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>2</ce:inf> catalyzed by robust heteropolyanions intercalated in ionic liquid-functionalized graphene oxide,Materials Chemistry and Physics,10.1016/j.matchemphys.2020.123681,https://api.elsevier.com/content/article/doi/10.1016/j.matchemphys.2020.123681?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Bio-oil chemical looping reforming coupled with water splitting for hydrogen and syngas coproduction: Effect of supports on the performance of Ni-Fe bimetallic oxygen carriers,Energy Conversion and Management,10.1016/j.enconman.2021.114512,https://api.elsevier.com/content/article/doi/10.1016/j.enconman.2021.114512?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Fatty acid alkyl esters obtained from babassu oil using C<ce:inf loc=post>1</ce:inf>–C<ce:inf loc=post>8</ce:inf> alcohols and process integration into a typical biodiesel plant,Chemical Engineering Research and Design,10.1016/j.cherd.2020.05.028,https://api.elsevier.com/content/article/doi/10.1016/j.cherd.2020.05.028?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Catalytic conversion of furfural-acetone condensation products into bio-derived C<ce:inf loc=post>8</ce:inf> linear alcohols over Ni<ce:glyph name=sbnd></ce:glyph>Cu/Al-SBA-15,Catalysis Communications,10.1016/j.catcom.2018.06.006,https://api.elsevier.com/content/article/doi/10.1016/j.catcom.2018.06.006?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Encapsulating UiO-66-NH<ce:inf loc=post>2</ce:inf>@Pt with Defective PCN-222 as an Active Armor to Fabricate a Sandwich-Type Nanocatalyst for the Tandem Synthesis via Hydrogenation of Nitroarenes,Journal of Catalysis,10.1016/j.jcat.2022.01.031,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2022.01.031?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The impact of furfural concentrations and substrate-to-biomass ratios on biological hydrogen production from synthetic lignocellulosic hydrolysate using mesophilic anaerobic digester sludge,Bioresource Technology,10.1016/j.biortech.2016.09.067,https://api.elsevier.com/content/article/doi/10.1016/j.biortech.2016.09.067?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effect of ethoxylation and lauryl alcohol on the self-assembly of sodium laurylsulfate: Significant structural and rheological transformation,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2020.124704,https://api.elsevier.com/content/article/doi/10.1016/j.colsurfa.2020.124704?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effect of hydrogen donor on liquid phase catalytic transfer hydrogenation of furfural over a Ru/RuO<ce:inf loc=post>2</ce:inf>/C catalyst,Journal of Molecular Catalysis A: Chemical,10.1016/j.molcata.2014.05.016,https://api.elsevier.com/content/article/doi/10.1016/j.molcata.2014.05.016?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Self-generating CeVO<ce:inf loc=post>4</ce:inf> as conductive channel within CeO<ce:inf loc=post>2</ce:inf>/CeVO<ce:inf loc=post>4</ce:inf>/V<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>5</ce:inf> to induce Z-scheme-charge-transfer driven photocatalytic degradation coupled with hydrogen production,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2019.07.096,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2019.07.096?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Metabolic engineering of <ce:italic>Escherichia coli</ce:italic> for higher alcohols production: An environmentally friendly alternative to fossil fuels,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2017.04.047,https://api.elsevier.com/content/article/doi/10.1016/j.rser.2017.04.047?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen-rich gas with low-level CO produced with autothermal methanol reforming providing a real-time supply used to drive a kW-scale PEMFC system,Energy,10.1016/j.energy.2021.122267,https://api.elsevier.com/content/article/doi/10.1016/j.energy.2021.122267?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Mechanistic study of the catalytic transfer hydrogenation of biodiesel catalyzed by Raney-Ni under microwave heating,Renewable Energy,10.1016/j.renene.2019.09.035,https://api.elsevier.com/content/article/doi/10.1016/j.renene.2019.09.035?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
CI engine performance and emissions with waste cooking oil biodiesel boosted with hydrogen supplement under different load and engine parameters,Alexandria Engineering Journal,10.1016/j.aej.2021.10.039,https://api.elsevier.com/content/article/doi/10.1016/j.aej.2021.10.039?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Thermocatalytic CO<ce:inf loc=post>2</ce:inf> hydrogenation for methanol and ethanol production: Process improvements,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.12.001,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2015.12.001?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Biological hydrogen production via dark fermentation by using a side-stream dynamic membrane bioreactor: Effect of substrate concentration,Chemical Engineering Journal,10.1016/j.cej.2018.05.129,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2018.05.129?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photo-fermentation hydrogen production by <ce:italic>Rhodopseudomonas</ce:italic> sp. nov. strain A7 isolated from the sludge in a bioreactor,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.05.001,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2015.05.001?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective conversion of furfuryl alcohol to levulinic acid by SO<ce:inf loc=post>3</ce:inf>H-containing silica nanoflower in GVL/H<ce:inf loc=post>2</ce:inf>O system,Renewable Energy,10.1016/j.renene.2021.02.064,https://api.elsevier.com/content/article/doi/10.1016/j.renene.2021.02.064?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
MoS<ce:inf loc=post>2</ce:inf>@SnO<ce:inf loc=post>2</ce:inf> core-shell sub-microspheres for high efficient visible-light photodegradation and photocatalytic hydrogen production,Materials Research Bulletin,10.1016/j.materresbull.2020.110912,https://api.elsevier.com/content/article/doi/10.1016/j.materresbull.2020.110912?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Promoted H<ce:inf loc=post>2</ce:inf>O and alcohols adsorption performances by modifying the channel of MOF with uncoordinated N atom,Inorganic Chemistry Communications,10.1016/j.inoche.2020.108295,https://api.elsevier.com/content/article/doi/10.1016/j.inoche.2020.108295?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Valorization of alginate for the production of hydrogen via catalytic aqueous phase reforming,Catalysis Today,10.1016/j.cattod.2017.09.047,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2017.09.047?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Reliable hydrogen production from methanol photolysis in aqueous solution by a harmony between In and Zn in bimetallic zinc indium sulfide,Materials Research Bulletin,10.1016/j.materresbull.2017.12.034,https://api.elsevier.com/content/article/doi/10.1016/j.materresbull.2017.12.034?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Insight into the roles of ammonia during direct alcohol amination over supported Ru catalysts,Journal of Catalysis,10.1016/j.jcat.2021.05.002,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2021.05.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Efficient hydrogen generation of vector Z-scheme CaTiO<ce:inf loc=post>3</ce:inf>/Cu/TiO<ce:inf loc=post>2</ce:inf> photocatalyst assisted by cocatalyst Cu nanoparticles,Journal of Colloid and Interface Science,10.1016/j.jcis.2021.07.106,https://api.elsevier.com/content/article/doi/10.1016/j.jcis.2021.07.106?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effect of polyvinyl alcohol/nano-carbon colloid on the electrochemical performance of negative plates of lead acid battery,Journal of Electroanalytical Chemistry,10.1016/j.jelechem.2018.10.069,https://api.elsevier.com/content/article/doi/10.1016/j.jelechem.2018.10.069?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Fermentative hydrogen production – An alternative clean energy source,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2012.01.002,https://api.elsevier.com/content/article/doi/10.1016/j.rser.2012.01.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Visible-light-induced hydrogenation of biomass-based aldehydes by graphitic carbon nitride supported metal catalysts,Green Energy & Environment,10.1016/j.gee.2020.07.004,https://api.elsevier.com/content/article/doi/10.1016/j.gee.2020.07.004?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Hydrothermal process assisted by photocatalysis: Towards a novel hybrid mechanism driven glucose valorization to levulinic acid, ethylene and hydrogen",Applied Catalysis B: Environmental,10.1016/j.apcatb.2021.121051,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2021.121051?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Measuring and interpreting quantum efficiency for hydrogen photo-production using Pt-titania catalysts,Journal of Catalysis,10.1016/j.jcat.2017.01.012,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2017.01.012?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective anaerobic fermentation of syngas into either C<ce:inf loc=post>2</ce:inf>-C<ce:inf loc=post>6</ce:inf> organic acids or ethanol and higher alcohols,Bioresource Technology,10.1016/j.biortech.2019.02.018,https://api.elsevier.com/content/article/doi/10.1016/j.biortech.2019.02.018?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Tremella-like integrated carbon nitride with polyvinylimine-doped for enhancing photocatalytic degradation and hydrogen evolution performances,Separation and Purification Technology,10.1016/j.seppur.2021.119766,https://api.elsevier.com/content/article/doi/10.1016/j.seppur.2021.119766?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
The synergistic effect of polyvinyl alcohol and graphene oxide on the corrosion resistance of waterborne coatings,Progress in Organic Coatings,10.1016/j.porgcoat.2021.106526,https://api.elsevier.com/content/article/doi/10.1016/j.porgcoat.2021.106526?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
TiO<ce:inf loc=post>2</ce:inf>/RGO composites: Its achievement and factors involved in hydrogen production,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2017.03.123,https://api.elsevier.com/content/article/doi/10.1016/j.rser.2017.03.123?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen production over Au-loaded mesoporous-assembled SrTiO<ce:inf loc=post>3</ce:inf> nanocrystal photocatalyst: Effects of molecular structure and chemical properties of hole scavengers,Energy Conversion and Management,10.1016/j.enconman.2010.12.026,https://api.elsevier.com/content/article/doi/10.1016/j.enconman.2010.12.026?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photoelectrochemical activity of CdS/Ag/TiO<ce:inf loc=post>2</ce:inf> nanorod composites: Degradation of nitrobenzene coupled with the concomitant production of molecular hydrogen,Electrochimica Acta,10.1016/j.electacta.2019.135124,https://api.elsevier.com/content/article/doi/10.1016/j.electacta.2019.135124?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Chapter 10: Hydrogen Transfer Reaction as an Alternative Reductive Process for the Valorization of Biomass-Derived Building Blocks,Studies in Surface Science and Catalysis,10.1016/B978-0-444-64127-4.00010-0,https://api.elsevier.com/content/article/doi/10.1016/B978-0-444-64127-4.00010-0?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Performance evaluation of bio-hydrogen and bio-methane cogeneration from corn stover over a range of initial pH and temperature,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.05.269,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2020.05.269?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Crosslinking effect on polyvinyl alcohol resin for barrier properties of barrier biaxial orientation films,Progress in Organic Coatings,10.1016/j.porgcoat.2021.106662,https://api.elsevier.com/content/article/doi/10.1016/j.porgcoat.2021.106662?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Partial oxidation of alcohols to produce hydrogen and chemicals in millisecond-contact time reactors,Journal of Catalysis,10.1016/j.jcat.2005.07.015,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2005.07.015?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
5: Selective hydrogenation of furanic compounds derived from sugars,Advanced Catalysis for Drop-in Chemicals,10.1016/B978-0-12-823827-1.00006-7,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-823827-1.00006-7?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
A ruthenium and palladium bimetallic system superior to a rhodium co-catalyst for TiO<ce:inf loc=post>2</ce:inf>-photocatalyzed ring hydrogenation of aniline to cyclohexylamine,Journal of Catalysis,10.1016/j.jcat.2020.05.035,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2020.05.035?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Flexible water-resistant semi-transparent cotton gin trash/poly (vinyl alcohol) bio-plastic for packaging application: Effect of plasticisers on physicochemical properties,Journal of Cleaner Production,10.1016/j.jclepro.2021.126983,https://api.elsevier.com/content/article/doi/10.1016/j.jclepro.2021.126983?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Efficient transfer hydrogenation of alkyl levulinates to γ-valerolactone catalyzed by simple Zr–TiO<ce:inf loc=post>2</ce:inf> metal oxide systems,Materials Today Chemistry,10.1016/j.mtchem.2021.100745,https://api.elsevier.com/content/article/doi/10.1016/j.mtchem.2021.100745?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Pt/TiO<ce:inf loc=post>2</ce:inf> nanotube photocatalyst – Effect of synthesis methods on valance state of Pt and its influence on hydrogen production and dye degradation,Journal of Colloid and Interface Science,10.1016/j.jcis.2018.11.077,https://api.elsevier.com/content/article/doi/10.1016/j.jcis.2018.11.077?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Catalytic performances of Ni and Cu impregnated MCM-41 and Zr-MCM-41 for hydrogen production through steam reforming of acetic acid,Catalysis Today,10.1016/j.cattod.2018.06.004,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2018.06.004?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Gelatinization, pasting, and rheological properties of pea starch in alcohol solution",Food Hydrocolloids,10.1016/j.foodhyd.2020.106331,https://api.elsevier.com/content/article/doi/10.1016/j.foodhyd.2020.106331?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Processing and characterizations of rotary linear needleless electrospun polyvinyl alcohol(PVA)/Chitosan(CS)/Graphene(Gr) nanofibrous membranes,Journal of Materials Research and Technology,10.1016/j.jmrt.2019.08.035,https://api.elsevier.com/content/article/doi/10.1016/j.jmrt.2019.08.035?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Catalytic subcritical and supercritical water gasification as a resource recovery approach from waste tires for hydrogen-rich syngas production,The Journal of Supercritical Fluids,10.1016/j.supflu.2019.104627,https://api.elsevier.com/content/article/doi/10.1016/j.supflu.2019.104627?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
